period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,19,1,3,0,42,0,19,23,32,10,0,0,5,10,0,842.36,56.16,14522.05,968.14,1014522.05,2021-05-15,986.88,19919.60,2021-05-21,-347.03,-8492.67,2,3,647.02,17207.92,1.6679
2021-06,30,0,1,0,110,0,59,51,91,19,0,0,12,17,0,718.43,24.77,14695.78,506.75,1029217.84,2021-06-13,836.66,23496.57,2021-06-19,-434.73,-12127.63,4,5,1408.56,41075.86,3.8401
2021-07,31,0,0,0,154,0,80,74,123,31,0,0,17,14,0,2332.01,75.23,79558.54,2566.40,1108776.42,2021-07-13,700.28,21359.00,2021-07-29,-895.93,-22472.82,6,3,1412.89,36001.51,3.1632
2021-08,31,2,3,0,119,0,60,59,101,18,0,0,11,15,0,-971.93,-37.38,-18476.86,-710.65,1090299.61,2021-08-19,1855.70,41324.49,2021-08-22,-883.20,-18014.67,4,5,2093.60,43029.51,3.7967
2021-09,30,1,3,0,169,0,90,79,149,20,0,0,11,15,0,-4401.91,-169.30,-96240.49,-3701.56,994059.14,2021-09-07,905.75,17434.60,2021-09-09,-1177.93,-25452.02,3,6,5513.39,120713.64,10.9220
2021-10,31,0,2,0,170,0,84,86,147,23,0,0,9,20,0,-2684.32,-92.56,-51586.25,-1778.84,942472.87,2021-10-19,1944.93,31202.97,2021-10-17,-1557.89,-25546.97,4,5,3530.64,63375.25,6.3754
2021-11,30,1,2,0,145,1,64,81,121,23,1,0,14,13,0,1775.96,65.78,33448.23,1238.82,975921.12,2021-11-07,2306.18,37489.00,2021-11-03,-1657.40,-26276.26,7,5,3987.89,64222.66,6.8143
2021-12,31,0,2,0,172,0,89,83,147,25,0,0,12,17,0,-1003.98,-34.62,-13729.98,-473.45,962191.17,2021-12-16,1512.34,31185.04,2021-12-05,-1094.00,-22252.45,2,7,4346.20,80455.61,8.2441
2022-01,31,0,2,0,184,0,96,88,154,30,0,0,12,17,0,-789.96,-27.24,-7061.56,-243.50,955129.57,2022-01-18,816.87,19266.67,2022-01-09,-832.39,-19959.48,3,4,4110.91,91725.10,9.5329
2022-02,28,2,1,0,161,0,85,76,144,17,0,0,7,18,0,-4594.25,-183.77,-104992.29,-4199.69,850137.31,2022-02-04,1254.32,33717.52,2022-02-06,-1462.90,-35154.86,2,6,5678.64,134373.37,13.7965
