market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,quantity,notional,slippage_points,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles
equity,BHARTIARTL_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,1864.300049,1864.300049,1853.099976,1854.199951,0.0,0.5501,2026-04-16T09:35:00+05:30,1853.0,2026-04-16T09:40:00+05:30,1852.899976,1864.672909,1829.354109,2026-04-16T13:00:00+05:30,1829.554109,TARGET,53,98203.7,0.2,1237.33,50.0,1187.33,1.209,1.8711,41
equity,BHARTIARTL_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,1864.0,1864.0,1853.099976,1855.0,0.0,0.7186,2026-04-20T09:20:00+05:30,1849.900024,2026-04-20T09:25:00+05:30,1849.499951,1864.3728,1819.754254,2026-04-20T15:20:00+05:30,1840.7,END_OF_DAY,54,99873.0,0.2,475.2,50.0,425.2,0.4257,0.5224,13
equity,BHARTIARTL_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,1834.400024,1852.300049,1834.400024,1851.699951,0.0,-0.3314,2026-04-21T09:30:00+05:30,1853.699951,2026-04-21T09:35:00+05:30,1854.7,1834.033144,1896.033711,2026-04-21T15:20:00+05:30,1853.899976,END_OF_DAY,47,87170.9,0.2,-37.6,50.0,-87.6,-0.1005,-0.0893,70
equity,BHARTIARTL_NS,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,1847.900024,1872.900024,1847.900024,1871.0,206740.0,0.3639,2026-04-29T09:40:00+05:30,1873.5,2026-04-29T09:45:00+05:30,1873.7,1847.530444,1926.039111,2026-04-29T12:15:00+05:30,1886.499951,END_OF_DAY,37,69326.9,0.2,473.6,50.0,423.6,0.611,0.4342,31
equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.150012,744.151128,774.147781,2026-04-01T10:20:00+05:30,743.951128,STOP_LOSS,98,73906.7,0.2,-999.49,50.0,-1049.49,-1.42,-1.05,12
equity,HDFCBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,760.0,760.0,746.200012,750.299988,0.0,1.3604,2026-04-06T09:40:00+05:30,746.049988,2026-04-06T09:45:00+05:30,745.8,760.152,717.096,2026-04-06T12:25:00+05:30,760.352,STOP_LOSS,68,50714.4,0.2,-989.54,50.0,-1039.54,-2.0498,-1.0505,33
equity,HDFCBANK_NS,2026-04-08,OPEN_EQUALS_LOW,LONG,2026-04-08T09:15:00+05:30,798.849976,809.349976,798.849976,807.900024,0.0,3.4646,2026-04-08T09:35:00+05:30,811.349976,2026-04-08T09:40:00+05:30,811.45,798.690206,836.969589,2026-04-08T15:20:00+05:30,816.500012,END_OF_DAY,77,62481.65,0.2,388.85,50.0,338.85,0.5423,0.3396,69
equity,HDFCBANK_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,814.900024,814.900024,808.75,810.0,0.0,-0.2204,2026-04-09T09:30:00+05:30,806.0,2026-04-09T09:35:00+05:30,806.05,815.063004,788.023991,2026-04-09T15:20:00+05:30,799.749988,END_OF_DAY,108,87053.4,0.2,680.4,50.0,630.4,0.7242,0.6336,70
equity,HDFCBANK_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,795.900024,800.349976,795.5,800.0,0.0,0.0943,2026-04-21T09:20:00+05:30,801.549988,2026-04-21T09:25:00+05:30,801.850024,795.740844,814.068384,2026-04-21T12:05:00+05:30,795.540844,STOP_LOSS,124,99429.4,0.2,-782.34,50.0,-832.34,-0.8371,-1.0639,33
equity,HDFCBANK_NS,2026-04-24,OPEN_EQUALS_LOW,LONG,2026-04-24T09:15:00+05:30,779.0,784.0,779.0,784.0,0.0,-0.5870,2026-04-24T10:50:00+05:30,785.950012,2026-04-24T10:55:00+05:30,785.900012,778.8442,800.011637,2026-04-24T15:20:00+05:30,784.8,END_OF_DAY,127,99809.3,0.2,-139.7,50.0,-189.7,-0.1901,-0.2059,54
