date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-13,FLAT,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-14,TRADED,3,0,2,1,3,0,0,0,3,0,-1447.36,-482.45,-109.42,-932.23,-29166.50,-9722.17,-2186.33,-18950.34,970833.50,0,3,1447.36,29166.50,2.9167,
2021-05-15,TRADED,4,0,1,3,4,0,0,0,4,0,-1647.00,-411.75,-204.28,-659.42,-32956.08,-8239.02,-4088.39,-13322.82,937877.42,0,4,1647.00,32956.08,3.3946,
2021-05-16,TRADED,3,0,1,2,3,0,0,1,2,0,818.84,272.95,1654.73,-599.76,15875.47,5291.82,33011.40,-12228.70,953752.89,1,2,835.89,17135.94,1.7650,
2021-05-17,TRADED,4,0,2,2,4,0,0,2,2,0,2566.56,641.64,2488.83,-281.53,53265.50,13316.37,51514.42,-6280.87,1007018.39,1,1,281.53,6280.87,0.6198,
2021-05-18,TRADED,2,0,1,1,2,0,0,1,1,0,-662.37,-331.18,48.94,-711.31,-15237.17,-7618.59,1102.25,-16339.42,991781.23,1,1,711.31,16339.41,1.6226,
2021-05-19,TRADED,4,0,1,3,4,0,0,1,3,0,1704.08,426.02,3493.72,-1166.15,33285.92,8321.48,79349.98,-30415.39,1025067.14,1,3,1789.64,46064.07,4.3005,
2021-05-20,TRADED,7,0,3,4,7,0,0,0,7,0,-2768.56,-395.51,-7.72,-1837.63,-73514.09,-10502.01,-195.88,-50028.38,951553.04,0,7,2768.56,73514.10,7.1716,
2021-05-21,TRADED,9,0,6,3,9,0,0,0,9,0,-3127.27,-347.47,-51.78,-1002.61,-76321.19,-8480.13,-1274.63,-24145.49,875231.86,0,9,3127.27,76321.18,8.0207,
2021-05-22,TRADED,4,0,3,1,4,0,0,1,3,0,-1294.26,-323.57,393.13,-1099.15,-33744.15,-8436.04,10354.80,-28644.23,841487.70,1,3,1687.39,44098.96,4.9796,
2021-05-23,TRADED,4,0,2,2,4,0,0,0,4,0,-913.91,-228.48,-77.09,-637.02,-24038.55,-6009.64,-2057.00,-16665.80,817449.15,0,4,913.91,24038.55,2.8567,
2021-05-24,TRADED,3,0,2,1,3,0,0,1,2,0,1428.85,476.28,2504.31,-632.22,36302.84,12100.95,66832.77,-17969.26,853751.98,1,2,1075.46,30529.93,3.4525,
2021-05-25,TRADED,7,0,2,5,7,0,0,1,6,0,2148.64,306.95,3204.69,-435.43,63879.14,9125.59,91708.91,-11505.15,917631.11,1,6,1056.05,27829.78,2.9435,
2021-05-26,TRADED,8,0,4,4,8,0,0,1,7,0,-944.37,-118.05,737.22,-443.04,-24157.61,-3019.70,19332.75,-11479.15,893473.50,1,5,1064.43,27420.22,2.9776,
2021-05-27,TRADED,8,0,4,4,8,0,0,1,7,0,-688.12,-86.01,432.72,-369.22,-17842.10,-2230.26,11012.58,-9593.12,875631.40,1,6,930.33,23980.70,2.6657,
2021-05-28,TRADED,1,0,0,1,1,0,0,0,1,0,-263.56,-263.56,-263.56,-263.56,-6838.46,-6838.46,-6838.46,-6838.46,868792.94,0,1,263.56,6838.46,0.7810,
2021-05-29,TRADED,7,0,5,2,7,0,0,1,6,0,-19.40,-2.77,1579.31,-761.84,-2336.05,-333.72,41533.10,-20655.72,866456.90,1,6,1598.71,43869.14,4.8191,
2021-05-30,TRADED,2,0,0,2,2,0,0,1,1,0,766.80,383.40,878.18,-111.38,21328.06,10664.03,24531.52,-3203.46,887784.97,1,1,111.38,3203.45,0.3595,
2021-05-31,TRADED,2,0,1,1,2,0,0,1,1,0,-23.69,-11.84,159.19,-182.88,-670.92,-335.46,4503.33,-5174.25,887114.05,1,1,182.88,5174.25,0.5799,
2021-06-01,TRADED,5,0,3,2,5,0,0,1,4,0,-58.05,-11.61,878.87,-625.51,-1202.79,-240.56,24494.86,-17275.29,885911.27,1,4,936.92,25697.64,2.8189,
2021-06-02,TRADED,4,0,1,3,4,0,0,1,3,0,-571.11,-142.78,18.20,-304.59,-15743.00,-3935.75,496.83,-8419.49,870168.27,1,3,589.31,16239.83,1.8321,
2021-06-03,TRADED,3,0,1,2,3,0,0,1,2,0,775.36,258.45,872.88,-79.95,21323.68,7107.89,23936.69,-2143.36,891491.95,1,2,97.52,2613.01,0.2922,
2021-06-04,TRADED,1,0,1,0,1,0,0,1,0,0,967.66,967.66,967.66,967.66,25708.69,25708.69,25708.69,25708.69,917200.65,1,0,0.00,0.00,0.0000,
2021-06-05,TRADED,3,0,1,2,3,0,0,1,2,0,-29.10,-9.70,718.63,-497.54,-1039.97,-346.66,18948.71,-13200.46,916160.68,1,2,747.73,19988.68,2.1352,
2021-06-06,TRADED,12,0,6,6,12,0,0,1,11,0,-1392.98,-116.08,156.42,-405.54,-38669.06,-3222.42,4302.27,-11157.85,877491.62,1,11,1549.40,42971.33,4.6684,
2021-06-07,TRADED,6,0,4,2,6,0,0,0,6,0,-469.09,-78.18,-4.47,-214.20,-12944.86,-2157.48,-123.84,-5900.19,864546.76,0,6,469.09,12944.86,1.4752,
2021-06-08,TRADED,1,0,0,1,1,0,0,1,0,0,3076.38,3076.38,3076.38,3076.38,85330.39,85330.39,85330.39,85330.39,949877.15,1,0,0.00,0.00,0.0000,
2021-06-09,TRADED,5,0,4,1,5,0,0,0,5,0,-1262.61,-252.52,-70.88,-763.56,-37951.87,-7590.37,-2153.27,-22696.41,911925.28,0,5,1262.61,37951.87,3.9955,
2021-06-10,TRADED,4,0,2,2,4,0,0,1,3,0,3520.97,880.24,3867.99,-210.07,107839.04,26959.76,117246.03,-5702.99,1019764.32,1,3,347.02,9406.99,0.9140,
2021-06-11,TRADED,11,0,5,6,11,0,0,0,11,0,-2096.04,-190.55,-34.44,-487.37,-57010.31,-5182.76,-932.78,-13378.65,962754.03,0,11,2096.04,57010.29,5.5905,
2021-06-12,TRADED,6,0,4,2,6,0,0,1,5,0,-541.67,-90.28,329.20,-365.75,-14396.41,-2399.40,9080.88,-9792.50,948357.63,1,3,719.32,19267.04,2.0012,
2021-06-13,TRADED,5,0,2,3,5,0,0,0,5,0,-456.29,-91.26,-35.82,-129.47,-12813.82,-2562.76,-1005.48,-3641.16,935543.81,0,5,456.29,12813.82,1.3512,
2021-06-14,TRADED,1,0,1,0,1,0,0,1,0,0,3570.61,3570.61,3570.61,3570.61,99600.13,99600.13,99600.13,99600.13,1035143.94,1,0,0.00,0.00,0.0000,
2021-06-15,TRADED,10,0,5,5,10,0,0,1,9,0,-1445.43,-144.54,338.38,-488.80,-35836.75,-3583.68,8519.40,-12008.73,999307.18,1,9,1783.81,44356.16,4.2500,
2021-06-16,TRADED,5,0,1,4,5,0,0,1,4,0,-299.75,-59.95,3.91,-124.11,-7463.33,-1492.67,97.35,-3081.81,991843.86,1,3,299.75,7463.32,0.7468,
2021-06-17,TRADED,5,0,3,2,5,0,0,1,4,0,298.08,59.62,914.03,-355.72,7124.55,1424.91,22869.84,-9062.49,998968.41,1,4,615.95,15745.29,1.5517,
2021-06-18,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,998968.41,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-06-19,TRADED,8,0,5,3,8,0,0,1,7,0,1546.83,193.35,2520.98,-328.69,38306.90,4788.36,65458.97,-9104.25,1037275.31,1,7,974.15,27152.07,2.5509,
2021-06-20,TRADED,6,0,1,5,6,0,0,1,5,0,-189.02,-31.50,612.01,-254.58,-5403.11,-900.52,17131.49,-7174.34,1031872.21,1,5,801.03,22534.59,2.1725,
2021-06-21,TRADED,2,0,2,0,2,0,0,0,2,0,-498.93,-249.47,-84.71,-414.22,-14085.63,-7042.81,-2411.24,-11674.39,1017786.58,0,2,498.93,14085.63,1.3651,
2021-06-22,TRADED,8,0,4,4,8,0,0,1,7,0,50.33,6.29,1711.00,-434.85,-1601.63,-200.20,49406.82,-13165.03,1016184.94,1,7,1660.67,51008.46,4.7797,
2021-06-23,TRADED,6,0,4,2,6,0,0,0,6,0,-1211.85,-201.98,-12.32,-458.67,-36570.32,-6095.05,-366.45,-14089.18,979614.64,0,6,1211.85,36570.30,3.5988,
2021-06-24,TRADED,6,0,1,5,6,0,0,0,6,0,-768.08,-128.01,-15.71,-368.78,-23043.96,-3840.66,-470.64,-11058.32,956570.69,0,6,768.08,23043.95,2.3523,
2021-06-25,TRADED,4,0,2,2,4,0,0,1,3,0,88.24,22.06,433.74,-163.14,2744.71,686.18,12812.26,-4758.84,959315.39,1,3,345.50,10067.55,1.0386,
2021-06-26,TRADED,7,0,3,4,7,0,0,2,5,0,759.53,108.50,1037.81,-304.61,21604.79,3086.40,30754.06,-9731.65,980920.18,2,5,595.94,19007.05,1.9008,
2021-06-27,TRADED,5,0,2,3,5,0,0,1,4,0,623.34,124.67,907.91,-208.20,19864.07,3972.81,28570.01,-6380.00,1000784.25,1,4,284.57,8705.94,0.8624,
2021-06-28,TRADED,6,0,5,1,6,0,0,0,6,0,-1251.75,-208.63,-11.52,-553.82,-36340.09,-6056.68,-336.73,-16089.13,964444.17,0,6,1251.75,36340.08,3.6312,
2021-06-29,TRADED,4,0,2,2,4,0,0,0,4,0,-650.91,-162.73,-14.57,-390.85,-18769.22,-4692.31,-422.40,-11198.79,945674.95,0,4,650.91,18769.22,1.9461,
2021-06-30,TRADED,3,0,1,2,3,0,0,2,1,0,730.74,243.58,1142.99,-438.90,21104.66,7034.89,33035.60,-12689.82,966779.61,2,1,438.90,12689.81,1.2956,
2021-07-01,TRADED,4,0,2,2,4,0,0,0,4,0,-529.17,-132.29,-101.98,-170.99,-15156.03,-3789.01,-2928.59,-4877.07,951623.58,0,4,529.17,15156.03,1.5677,
2021-07-02,TRADED,11,0,5,6,11,0,0,1,10,0,-344.17,-31.29,639.80,-314.24,-10927.71,-993.43,18644.79,-9531.08,940695.87,1,10,983.97,29572.49,3.0479,
2021-07-03,TRADED,2,0,2,0,2,0,0,1,1,0,619.42,309.71,744.29,-124.87,18472.37,9236.19,22203.04,-3730.67,959168.23,1,1,124.87,3730.67,0.3966,
2021-07-04,TRADED,1,0,1,0,1,0,0,0,1,0,-170.80,-170.80,-170.80,-170.80,-4938.97,-4938.97,-4938.97,-4938.97,954229.27,0,1,170.80,4938.96,0.5149,
2021-07-05,TRADED,2,0,1,1,2,0,0,2,0,0,1772.51,886.25,1099.36,673.15,50611.68,25305.84,31157.42,19454.26,1004840.95,2,0,0.00,0.00,0.0000,
2021-07-06,TRADED,11,0,7,4,11,0,0,0,11,0,-1525.28,-138.66,-5.23,-596.02,-44427.51,-4038.86,-153.15,-17195.87,960413.45,0,11,1525.28,44427.50,4.4213,
2021-07-07,TRADED,7,0,5,2,7,0,0,1,6,0,-230.68,-32.95,61.60,-121.29,-6767.99,-966.86,1787.58,-3562.43,953645.47,1,5,291.86,8543.41,0.8896,
2021-07-08,TRADED,1,0,0,1,1,0,0,1,0,0,1069.80,1069.80,1069.80,1069.80,31234.17,31234.17,31234.17,31234.17,984879.64,1,0,0.00,0.00,0.0000,
2021-07-09,TRADED,7,0,4,3,7,0,0,1,6,0,-748.33,-106.90,145.10,-412.26,-22945.72,-3277.96,4395.29,-12726.28,961933.91,1,6,893.43,27341.02,2.7637,
2021-07-10,TRADED,4,0,4,0,4,0,0,1,3,0,430.23,107.56,617.37,-103.82,13174.68,3293.67,18709.85,-3071.93,975108.58,1,3,187.14,5535.18,0.5644,
2021-07-11,TRADED,5,0,2,3,5,0,0,0,5,0,-574.27,-114.85,-18.96,-285.41,-17146.79,-3429.36,-563.86,-8542.11,957961.79,0,5,574.27,17146.79,1.7584,
2021-07-12,TRADED,1,0,1,0,1,0,0,1,0,0,397.32,397.32,397.32,397.32,11790.13,11790.13,11790.13,11790.13,969751.92,1,0,0.00,0.00,0.0000,
2021-07-13,TRADED,5,0,2,3,5,0,0,1,4,0,516.08,103.22,747.20,-100.68,14989.23,2997.85,21948.39,-3025.69,984741.14,1,4,231.12,6959.17,0.7017,
2021-07-14,TRADED,4,0,1,3,4,0,0,1,3,0,406.90,101.73,588.83,-78.46,12201.74,3050.43,17819.39,-2418.36,996942.88,1,3,181.93,5617.64,0.5603,
2021-07-15,TRADED,3,0,2,1,3,0,0,0,3,0,-374.69,-124.90,-33.56,-255.02,-11441.77,-3813.92,-1030.30,-7775.00,985501.11,0,3,374.69,11441.77,1.1477,
2021-07-16,TRADED,8,0,3,5,8,0,0,3,5,0,305.89,38.24,507.23,-175.55,9232.67,1154.08,15611.98,-5577.51,994733.79,1,3,220.14,6972.89,0.6965,
2021-07-17,TRADED,6,0,3,3,6,0,0,0,6,0,-333.50,-55.58,-11.91,-172.63,-10514.19,-1752.36,-376.52,-5432.80,984219.61,0,6,333.50,10514.18,1.0570,
2021-07-18,TRADED,9,0,3,6,9,0,0,0,9,0,-642.40,-71.38,-7.21,-222.09,-20191.01,-2243.45,-226.93,-6942.48,964028.59,0,9,642.40,20191.02,2.0515,
2021-07-19,TRADED,6,0,3,3,6,0,0,0,6,0,-555.37,-92.56,-6.07,-206.56,-17542.82,-2923.80,-190.95,-6543.95,946485.78,0,6,555.37,17542.81,1.8197,
2021-07-20,TRADED,1,0,0,1,1,0,0,1,0,0,1503.44,1503.44,1503.44,1503.44,47745.91,47745.91,47745.91,47745.91,994231.69,1,0,0.00,0.00,0.0000,
2021-07-21,TRADED,4,0,1,3,4,0,0,1,3,0,-197.90,-49.48,9.55,-161.49,-6681.01,-1670.25,319.82,-5456.72,987550.69,1,3,207.45,7000.83,0.7039,
2021-07-22,TRADED,5,0,3,2,5,0,0,1,4,0,1863.15,372.63,2039.76,-88.23,62866.62,12573.32,68390.51,-2772.85,1050417.30,1,4,176.61,5523.90,0.5231,
2021-07-23,TRADED,8,0,3,5,8,0,0,1,7,0,-236.96,-29.62,153.88,-130.70,-7272.72,-909.09,4782.42,-4013.38,1043144.59,1,7,390.84,12055.14,1.1425,
2021-07-24,TRADED,1,0,1,0,1,0,0,1,0,0,1239.13,1239.13,1239.13,1239.13,38137.47,38137.47,38137.47,38137.47,1081282.06,1,0,0.00,0.00,0.0000,
2021-07-25,TRADED,7,0,4,3,7,0,0,1,6,0,-374.92,-53.56,4.60,-206.04,-10915.29,-1559.33,134.37,-5974.78,1070366.78,1,4,374.92,10915.28,1.0095,
2021-07-26,TRADED,1,0,1,0,1,0,0,1,0,0,3497.83,3497.83,3497.83,3497.83,101704.05,101704.05,101704.05,101704.05,1172070.83,1,0,0.00,0.00,0.0000,
2021-07-27,TRADED,6,0,4,2,6,0,0,0,6,0,-1639.19,-273.20,-85.47,-575.36,-42936.26,-7156.04,-2264.46,-14990.57,1129134.57,0,6,1639.19,42936.26,3.6633,
2021-07-28,TRADED,3,0,2,1,3,0,0,1,2,0,384.97,128.32,1489.72,-624.78,11525.17,3841.72,39281.82,-15444.38,1140659.75,1,2,1104.75,27756.65,2.3756,
2021-07-29,TRADED,13,0,7,6,13,0,0,0,13,0,-1616.92,-124.38,-17.82,-449.34,-40647.92,-3126.76,-446.05,-11395.31,1100011.82,0,13,1616.92,40647.93,3.5635,
2021-07-30,TRADED,5,0,2,3,5,0,0,1,4,0,-160.48,-32.10,323.82,-218.15,-4012.05,-802.41,8149.00,-5505.87,1095999.78,1,4,484.30,12161.05,1.1055,
2021-07-31,TRADED,6,0,2,4,6,0,0,1,5,0,425.08,70.85,1442.35,-344.31,11669.19,1944.87,36153.64,-8198.72,1107668.96,1,5,1017.27,24484.46,2.1626,
2021-08-01,TRADED,7,0,5,2,7,0,0,0,7,0,-833.09,-119.01,-42.84,-220.27,-19977.97,-2854.00,-1026.87,-5257.91,1087690.98,0,7,833.09,19977.98,1.8036,
