date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-10-11,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-10-12,TRADED,8,0,5,3,8,0,0,1,7,0,7728.79,966.10,8981.79,-379.82,1,7,1253.00,
2025-10-13,TRADED,14,0,3,11,14,0,0,1,13,0,-2303.88,-164.56,2001.99,-742.19,1,13,4305.87,
2025-10-14,TRADED,9,0,5,4,9,0,0,1,8,0,-99.81,-11.09,1401.26,-329.12,1,5,1023.33,
2025-10-15,TRADED,13,0,8,5,13,0,0,1,12,0,-1962.94,-151.00,24.35,-483.21,1,10,1962.94,
2025-10-16,TRADED,13,0,5,8,13,0,0,1,12,0,-1897.44,-145.96,491.92,-492.48,1,12,2389.36,
2025-10-17,TRADED,6,0,3,3,6,0,0,1,5,0,2294.41,382.40,3276.43,-317.05,1,5,982.02,
2025-10-18,TRADED,12,0,8,4,12,0,0,1,11,0,-913.79,-76.15,85.70,-241.78,1,7,913.79,
2025-10-19,TRADED,9,0,4,5,9,0,0,0,9,0,-855.48,-95.05,-17.04,-260.51,0,9,855.48,
2025-10-20,TRADED,4,0,3,1,4,0,0,2,2,0,1684.28,421.07,1554.14,-188.58,1,2,320.03,
2025-10-21,TRADED,3,0,2,1,3,0,0,3,0,0,1149.56,383.19,791.82,161.59,3,0,0.00,
2025-10-22,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-10-23,TRADED,1,0,0,1,1,0,0,1,0,0,1652.59,1652.59,1652.59,1652.59,1,0,0.00,
2025-10-24,TRADED,9,0,4,5,9,0,0,1,8,0,824.80,91.64,2335.36,-608.97,1,8,1510.56,
2025-10-25,MIXED,4,1,3,1,3,1,0,1,3,0,323.81,80.95,473.63,-74.41,1,3,149.82,Missing 12 candle(s) between 2025-10-25 14:30:00+00:00 and 2025-10-25 21:00:00+00:00; resumed on next available row.
2025-10-26,TRADED,4,0,2,2,4,0,0,0,4,0,-254.51,-63.63,-1.25,-160.52,0,4,254.51,
2025-10-27,TRADED,4,0,4,0,4,0,0,1,3,0,2418.03,604.51,3077.37,-632.75,1,3,659.34,
2025-10-28,TRADED,9,0,5,4,9,0,0,1,8,0,-1690.04,-187.78,363.48,-590.81,1,8,2053.52,
2025-10-29,TRADED,2,0,1,1,2,0,0,1,1,0,103.94,51.97,175.89,-71.95,1,1,71.95,
2025-10-30,TRADED,2,0,0,2,2,0,0,1,1,0,1188.47,594.24,1357.01,-168.54,1,1,168.54,
2025-10-31,TRADED,15,0,10,5,15,0,0,1,14,0,-220.89,-14.73,1719.20,-422.01,1,14,1940.09,
2025-11-01,TRADED,13,0,8,5,13,0,0,2,11,0,-756.13,-58.16,114.83,-209.36,1,5,756.13,
2025-11-02,TRADED,14,0,8,6,14,0,0,0,14,0,-1530.06,-109.29,-4.73,-335.17,0,14,1530.06,
2025-11-03,TRADED,3,0,1,2,3,0,0,0,3,0,-373.41,-124.47,-15.43,-211.00,0,3,373.41,
2025-11-04,TRADED,2,0,1,1,2,0,0,1,1,0,2607.25,1303.62,2624.99,-17.74,1,1,17.74,
2025-11-05,TRADED,3,0,0,3,3,0,0,1,2,0,4700.37,1566.79,4851.15,-102.13,1,2,150.78,
2025-11-06,TRADED,8,0,4,4,8,0,0,1,7,0,-130.69,-16.34,1020.49,-355.78,1,7,1151.18,
2025-11-07,TRADED,7,0,2,5,7,0,0,3,4,0,309.26,44.18,561.89,-266.09,2,2,486.98,
2025-11-08,TRADED,5,0,3,2,5,0,0,0,5,0,-855.30,-171.06,-6.04,-530.63,0,5,855.30,
2025-11-09,TRADED,9,0,2,7,9,0,0,0,9,0,-1058.28,-117.59,-0.36,-315.20,0,9,1058.28,
2025-11-10,TRADED,9,0,5,4,9,0,0,1,8,0,1334.47,148.27,3228.55,-505.32,1,8,1894.08,
2025-11-11,TRADED,6,0,4,2,6,0,0,0,6,0,-1029.99,-171.66,-46.25,-365.50,0,6,1029.99,
2025-11-12,TRADED,4,0,2,2,4,0,0,1,3,0,1287.52,321.88,2030.95,-361.47,1,3,743.43,
2025-11-13,TRADED,9,0,7,2,9,0,0,0,9,0,-2317.88,-257.54,-27.20,-659.48,0,9,2317.88,
2025-11-14,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-11-15,TRADED,23,0,18,5,23,0,0,1,22,0,2987.37,129.89,5891.50,-405.29,1,22,2904.13,
2025-11-16,TRADED,12,0,5,7,12,0,0,0,12,0,-1216.13,-101.34,-1.49,-282.26,0,12,1216.13,
2025-11-17,TRADED,14,0,6,8,14,0,0,1,13,0,-1228.59,-87.76,532.36,-314.74,1,13,1760.95,
2025-11-18,TRADED,3,0,1,2,3,0,0,1,2,0,2437.81,812.60,2794.09,-269.45,1,2,356.28,
2025-11-19,TRADED,4,0,1,3,4,0,0,1,3,0,-1247.99,-312.00,177.06,-842.79,1,3,1425.05,
2025-11-20,TRADED,2,0,2,0,2,0,0,0,2,0,-221.46,-110.73,-87.13,-134.33,0,2,221.46,
2025-11-21,TRADED,6,0,2,4,6,0,0,1,5,0,5067.03,844.50,5794.63,-369.89,1,5,727.60,
2025-11-22,TRADED,24,0,16,8,24,0,0,0,24,0,-4320.62,-180.03,-0.57,-689.87,0,24,4320.62,
2025-11-23,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-11-24,TRADED,13,0,7,6,13,0,0,2,11,0,-4.91,-0.38,1945.91,-745.70,1,11,2033.84,
2025-11-25,TRADED,8,0,3,5,8,0,0,2,6,0,-941.53,-117.69,281.21,-664.50,1,5,1222.74,
2025-11-26,TRADED,12,0,6,6,12,0,0,0,12,0,-1940.14,-161.68,-16.08,-378.92,0,12,1940.14,
2025-11-27,TRADED,1,0,1,0,1,0,0,1,0,0,3641.58,3641.58,3641.58,3641.58,1,0,0.00,
2025-11-28,TRADED,14,0,7,7,14,0,0,1,13,0,-1625.90,-116.14,69.43,-396.48,1,12,1625.90,
2025-11-29,TRADED,8,0,4,4,8,0,0,1,7,0,-483.67,-60.46,62.80,-224.06,1,7,546.47,
2025-11-30,TRADED,10,0,6,4,10,0,0,1,9,0,-317.99,-31.80,253.76,-175.91,1,5,412.42,
2025-12-01,TRADED,2,0,1,1,2,0,0,1,1,0,4121.88,2060.94,4229.61,-107.73,1,1,107.73,
2025-12-02,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-12-03,TRADED,9,0,6,3,9,0,0,2,7,0,4736.34,526.26,5576.12,-334.24,1,6,839.78,
2025-12-04,TRADED,13,0,8,5,13,0,0,2,11,0,-901.30,-69.33,180.47,-154.23,1,10,1081.77,
2025-12-05,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-12-06,TRADED,10,0,5,5,10,0,0,1,9,0,2689.02,268.90,3254.84,-134.98,1,9,565.82,
2025-12-07,TRADED,17,0,7,10,17,0,0,0,17,0,-1902.79,-111.93,-7.67,-447.54,0,17,1902.79,
2025-12-08,TRADED,4,0,2,2,4,0,0,1,3,0,760.64,190.16,967.33,-125.14,1,3,206.69,
2025-12-09,TRADED,5,0,3,2,5,0,0,1,4,0,40.45,8.09,368.14,-167.71,1,4,327.69,
2025-12-10,TRADED,11,0,5,6,11,0,0,1,10,0,-1.62,-0.15,1237.88,-510.89,1,10,1239.50,
2025-12-11,TRADED,2,0,0,2,2,0,0,1,1,0,1347.02,673.51,1374.88,-27.86,1,1,27.86,
2025-12-12,TRADED,1,0,1,0,1,0,0,1,0,0,759.88,759.88,759.88,759.88,1,0,0.00,
2025-12-13,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
