date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-05-10,FLAT,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,
2025-05-11,TRADED,21,0,12,9,21,0,0,2,19,0,-1727.76,-82.27,82.72,-361.49,2,17,1750.31,
2025-05-12,TRADED,19,0,10,9,19,0,0,1,18,0,-2626.97,-138.26,11.29,-398.72,1,12,2626.97,
2025-05-13,TRADED,3,0,0,3,3,0,0,1,2,0,-236.02,-78.67,30.78,-265.98,1,2,266.80,
2025-05-14,TRADED,23,0,11,12,23,0,0,1,22,0,-1379.09,-59.96,494.96,-290.75,1,22,1874.05,
2025-05-15,TRADED,10,0,4,6,10,0,0,1,9,0,-363.51,-36.35,650.41,-231.96,1,5,753.86,
2025-05-16,TRADED,17,0,11,6,17,0,0,2,15,0,-1433.98,-84.35,174.84,-373.30,1,13,1623.72,
2025-05-17,TRADED,13,0,5,8,13,0,0,1,12,0,-458.19,-35.25,173.54,-170.11,1,9,531.92,
2025-05-18,TRADED,10,0,6,4,10,0,0,1,9,0,19.82,1.98,601.30,-197.23,1,6,345.38,
2025-05-19,TRADED,2,0,1,1,2,0,0,2,0,0,400.93,200.46,305.15,95.78,2,0,0.00,
2025-05-20,TRADED,12,0,4,8,12,0,0,2,10,0,-1415.96,-118.00,506.85,-660.48,1,8,1922.81,
2025-05-21,TRADED,15,0,7,8,15,0,0,3,12,0,-1005.26,-67.02,511.15,-454.34,1,8,1694.63,
2025-05-22,TRADED,2,0,2,0,2,0,0,1,1,0,3333.32,1666.66,3514.57,-181.25,1,1,181.25,
2025-05-23,TRADED,7,0,2,5,7,0,0,2,5,0,-311.94,-44.56,330.91,-231.23,1,4,642.85,
2025-05-24,TRADED,3,0,2,1,3,0,0,1,2,0,1859.75,619.92,2484.34,-527.31,1,2,624.59,
2025-05-25,TRADED,8,0,4,4,8,0,0,1,7,0,-171.38,-21.42,538.17,-244.19,1,7,709.55,
2025-05-26,TRADED,11,0,6,5,11,0,0,1,10,0,-351.02,-31.91,836.47,-318.37,1,10,1187.49,
2025-05-27,TRADED,7,0,5,2,7,0,0,1,6,0,-945.30,-135.04,27.57,-328.31,1,5,945.30,
2025-05-28,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-29,TRADED,15,0,7,8,15,0,0,2,13,0,-305.12,-20.34,835.73,-277.69,1,8,1140.85,
2025-05-30,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-31,TRADED,4,0,1,3,4,0,0,1,3,0,3439.41,859.85,3454.27,-6.08,1,3,14.86,
2025-06-01,TRADED,20,0,10,10,20,0,0,0,20,0,-1176.64,-58.83,-8.60,-177.04,0,20,1176.64,
2025-06-02,TRADED,17,0,13,4,17,0,0,1,16,0,-955.97,-56.23,97.58,-161.53,1,10,955.97,
2025-06-03,TRADED,11,0,6,5,11,0,0,2,9,0,-362.19,-32.93,34.83,-160.75,2,6,390.17,
2025-06-04,TRADED,13,0,6,7,13,0,0,1,12,0,-690.99,-53.15,2.02,-169.71,1,11,690.99,
2025-06-05,TRADED,8,0,4,4,8,0,0,2,6,0,-143.58,-17.95,484.59,-408.86,1,4,628.17,
2025-06-06,TRADED,4,0,2,2,4,0,0,1,3,0,1226.15,306.54,1433.32,-164.43,1,3,207.17,
2025-06-07,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-06-08,TRADED,17,0,10,7,17,0,0,2,15,0,1584.75,93.22,2277.14,-93.99,1,12,692.39,
2025-06-09,TRADED,6,0,2,4,6,0,0,0,6,0,-263.22,-43.87,-14.29,-69.77,0,6,263.22,
2025-06-10,TRADED,9,0,5,4,9,0,0,1,8,0,2252.92,250.32,3207.31,-293.34,1,8,954.39,
2025-06-11,TRADED,21,0,12,9,21,0,0,0,21,0,-1991.15,-94.82,-3.38,-344.70,0,21,1991.15,
2025-06-12,TRADED,3,0,1,2,3,0,0,1,2,0,927.99,309.33,1287.31,-203.38,1,2,359.32,
2025-06-13,TRADED,12,0,8,4,12,0,0,1,11,0,399.62,33.30,2191.04,-334.24,1,11,1791.42,
2025-06-14,TRADED,4,0,2,2,4,0,0,2,2,0,104.86,26.21,112.85,-39.99,2,2,40.99,
2025-06-15,TRADED,10,0,3,7,10,0,0,1,9,0,-1065.53,-106.55,83.41,-229.08,1,7,1065.53,
2025-06-16,TRADED,5,0,4,1,5,0,0,0,5,0,-609.69,-121.94,-50.58,-231.46,0,5,609.69,
2025-06-17,TRADED,11,0,3,8,11,0,0,1,10,0,375.34,34.12,1492.03,-306.52,1,10,1116.69,
2025-06-18,TRADED,23,0,11,12,23,0,0,3,20,0,-274.84,-11.95,1990.76,-364.86,1,11,2265.60,
2025-06-19,TRADED,26,0,14,12,26,0,0,0,26,0,-2596.15,-99.85,-7.87,-321.37,0,26,2596.15,
2025-06-20,TRADED,15,0,8,7,15,0,0,1,14,0,-405.43,-27.03,303.01,-151.45,1,14,708.44,
2025-06-21,TRADED,18,0,9,9,18,0,0,1,17,0,-141.31,-7.85,916.35,-216.77,1,17,1057.66,
2025-06-22,TRADED,6,0,2,4,6,0,0,2,4,0,206.57,34.43,176.70,-67.92,2,4,135.55,
2025-06-23,TRADED,8,0,2,6,8,0,0,1,7,0,-427.86,-53.48,1040.03,-624.68,1,7,1467.89,
