period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,max_profit_date,max_profit_points,max_loss_date,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points
2025,236,18,1,0,2355,1,1215,1140,2354,1,0,91,126,0,23658.96,109.03,2025-10-12,7319.05,2025-11-22,-4812.74,5,8,11440.38
2026,129,17,0,0,1235,1,623,612,1233,1,1,46,66,0,13869.22,123.83,2026-02-06,12176.67,2026-01-23,-3056.81,3,6,14953.16
