trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,holding_days,remarks
T00001,2025-05-11,2025-05-11,2025-05-11,2025-05-11 07:00:00+00:00,2025-05-11 07:15:00+00:00,SHORT,103708.40,103726.31,2025-05-11 07:15:00+00:00,2025-05-11 07:30:00+00:00,103726.31,stop_loss_ma_touch,103726.31,-17.91,0,
T00002,2025-05-11,2025-05-11,2025-05-11,2025-05-11 07:15:00+00:00,2025-05-11 07:30:00+00:00,SHORT,103674.54,103725.51,2025-05-11 08:00:00+00:00,2025-05-11 08:15:00+00:00,103718.89,stop_loss_ma_touch,103718.89,-44.35,0,
T00003,2025-05-11,2025-05-11,2025-05-11,2025-05-11 08:00:00+00:00,2025-05-11 08:15:00+00:00,LONG,103812.11,103718.78,2025-05-11 14:15:00+00:00,2025-05-11 14:30:00+00:00,103894.83,stop_loss_ma_touch,103894.83,82.72,0,
T00004,2025-05-11,2025-05-11,2025-05-11,2025-05-11 14:15:00+00:00,2025-05-11 14:30:00+00:00,LONG,103941.20,103899.23,2025-05-11 15:45:00+00:00,2025-05-11 16:00:00+00:00,103943.29,stop_loss_ma_touch,103943.29,2.09,0,
T00005,2025-05-11,2025-05-11,2025-05-11,2025-05-11 15:45:00+00:00,2025-05-11 16:00:00+00:00,LONG,104177.33,103953.92,2025-05-11 16:00:00+00:00,2025-05-11 16:15:00+00:00,103953.92,stop_loss_ma_touch,103953.92,-223.41,0,
T00006,2025-05-11,2025-05-11,2025-05-11,2025-05-11 16:00:00+00:00,2025-05-11 16:15:00+00:00,LONG,104054.66,103962.14,2025-05-11 16:15:00+00:00,2025-05-11 16:30:00+00:00,103962.14,stop_loss_ma_touch,103962.14,-92.52,0,
T00007,2025-05-11,2025-05-11,2025-05-11,2025-05-11 16:15:00+00:00,2025-05-11 16:30:00+00:00,LONG,104114.97,103970.33,2025-05-11 16:30:00+00:00,2025-05-11 16:45:00+00:00,103970.33,stop_loss_ma_touch,103970.33,-144.64,0,
T00008,2025-05-11,2025-05-11,2025-05-11,2025-05-11 16:30:00+00:00,2025-05-11 16:45:00+00:00,SHORT,103970.55,103976.40,2025-05-11 16:45:00+00:00,2025-05-11 17:00:00+00:00,103976.40,stop_loss_ma_touch,103976.40,-5.85,0,
T00009,2025-05-11,2025-05-11,2025-05-11,2025-05-11 16:45:00+00:00,2025-05-11 17:00:00+00:00,LONG,104018.03,103982.35,2025-05-11 17:00:00+00:00,2025-05-11 17:15:00+00:00,103982.35,stop_loss_ma_touch,103982.35,-35.68,0,
T00010,2025-05-11,2025-05-11,2025-05-11,2025-05-11 17:00:00+00:00,2025-05-11 17:15:00+00:00,LONG,104058.61,103989.24,2025-05-11 17:15:00+00:00,2025-05-11 17:30:00+00:00,103989.24,stop_loss_ma_touch,103989.24,-69.37,0,
T00011,2025-05-11,2025-05-11,2025-05-11,2025-05-11 17:15:00+00:00,2025-05-11 17:30:00+00:00,SHORT,103924.15,103994.29,2025-05-11 17:30:00+00:00,2025-05-11 17:45:00+00:00,103994.29,stop_loss_ma_touch,103994.29,-70.14,0,
T00012,2025-05-11,2025-05-11,2025-05-11,2025-05-11 17:30:00+00:00,2025-05-11 17:45:00+00:00,LONG,104046.83,104000.62,2025-05-11 17:45:00+00:00,2025-05-11 18:00:00+00:00,104000.62,stop_loss_ma_touch,104000.62,-46.21,0,
T00013,2025-05-11,2025-05-11,2025-05-11,2025-05-11 17:45:00+00:00,2025-05-11 18:00:00+00:00,LONG,104066.09,104009.80,2025-05-11 18:00:00+00:00,2025-05-11 18:15:00+00:00,104009.80,stop_loss_ma_touch,104009.80,-56.29,0,
T00014,2025-05-11,2025-05-11,2025-05-11,2025-05-11 18:00:00+00:00,2025-05-11 18:15:00+00:00,SHORT,103946.42,104016.38,2025-05-11 18:15:00+00:00,2025-05-11 18:30:00+00:00,104016.38,stop_loss_ma_touch,104016.38,-69.96,0,
T00015,2025-05-11,2025-05-11,2025-05-11,2025-05-11 18:15:00+00:00,2025-05-11 18:30:00+00:00,SHORT,103932.97,104023.48,2025-05-11 18:30:00+00:00,2025-05-11 18:45:00+00:00,104023.48,stop_loss_ma_touch,104023.48,-90.51,0,
T00016,2025-05-11,2025-05-11,2025-05-11,2025-05-11 18:30:00+00:00,2025-05-11 18:45:00+00:00,LONG,104514.74,104037.56,2025-05-11 21:00:00+00:00,2025-05-11 21:15:00+00:00,104153.25,stop_loss_ma_touch,104153.25,-361.49,0,
