market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,10,1,9,10.0,-141529.82,-14152.98,1898.22,-23688.16,0.0132
commodities,GCF,10,0,10,0.0,-140045.98,-14004.6,-10024.47,-18804.97,0.0
commodities,HGF,5,0,5,0.0,-36977.89,-7395.58,-5838.1,-10776.69,0.0
commodities,NGF,10,0,10,0.0,-66822.73,-6682.27,-5086.32,-8398.46,0.0
commodities,SIF,15,0,15,0.0,-200502.6,-13366.84,-2531.59,-23877.79,0.0
derivatives,CNXAUTO,4,2,2,50.0,-3360.33,-840.08,4060.98,-5570.96,0.5567
derivatives,CNXFMCG,4,3,1,75.0,11997.79,2999.45,8765.56,-2170.55,6.5275
derivatives,CNXIT,2,2,0,100.0,3051.72,1525.86,2503.76,547.96,inf
derivatives,NSEBANK,3,1,2,33.33,-208.94,-69.65,3483.96,-1956.5,0.9434
derivatives,NSEI,5,3,2,60.0,-512.57,-102.51,2788.39,-4529.2,0.9084
equity,BHARTIARTL_NS,7,4,3,57.14,15366.52,2195.22,9401.25,-3342.45,3.3889
equity,HDFCBANK_NS,7,2,5,28.57,-15985.43,-2283.63,5174.54,-9820.14,0.3355
equity,ICICIBANK_NS,4,2,2,50.0,1280.06,320.02,9062.41,-9243.31,1.1342
equity,INFY_NS,7,4,3,57.14,6847.7,978.24,17209.68,-8290.21,1.4043
equity,ITC_NS,8,3,5,37.5,-8778.69,-1097.34,3892.93,-5383.37,0.3989
equity,KOTAKBANK_NS,6,2,4,33.33,-3180.91,-530.15,5218.12,-9085.33,0.7558
equity,LT_NS,4,3,1,75.0,1639.25,409.81,2612.35,-2047.4,1.8006
equity,RELIANCE_NS,6,3,3,50.0,5174.5,862.42,8713.74,-3588.99,1.5362
equity,SBIN_NS,2,0,2,0.0,-515.7,-257.85,-205.06,-310.64,0.0
equity,TCS_NS,2,2,0,100.0,20153.51,10076.75,17096.69,3056.82,inf
