sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
fractional_kelly,commodities,CLF,2026-03-30,OPEN_EQUALS_LOW,LONG,2026-03-30T09:15:00-04:00,101.290001,101.75,101.199997,101.610001,2620.0,,2026-03-30T09:25:00-04:00,101.769997,2026-03-30T09:30:00-04:00,101.969997,101.269743,103.370504,2026-03-30T12:00:00-04:00,103.170504,TARGET,0.457142,0.2,9806,1000000.0,1.0,8827.89,0.0,60000.0,999917.79,0.0,3000000.0,per_trade_allocation,kelly_warmup_fixed_percent_risk,11772.18,17386.07,-5613.89,-0.5614,-0.6359,31,994386.11
fractional_kelly,commodities,SIF,2026-03-30,OPEN_EQUALS_HIGH,SHORT,2026-03-30T09:15:00-04:00,71.364998,71.400002,71.209999,71.315002,94.0,,2026-03-30T09:30:00-04:00,70.955002,2026-03-30T09:35:00-04:00,70.825002,71.379271,69.716463,2026-03-30T15:20:00-04:00,69.916463,TARGET,0.271429,0.2,13257,1000000.0,1.0,9999.35,8827.89,60000.0,938927.05,999917.79,3000000.0,risk_budget,kelly_warmup_fixed_percent_risk,12044.5,16037.52,-3993.02,-0.4253,-0.3993,70,990393.09
fractional_kelly,commodities,GCF,2026-03-31,OPEN_EQUALS_LOW,LONG,2026-03-31T09:15:00-04:00,4610.899902,4616.700195,4610.600098,4613.200195,354.0,1.8353,2026-03-31T09:40:00-04:00,4618.0,2026-03-31T09:45:00-04:00,4618.599902,4609.977722,4635.844262,2026-03-31T09:50:00-04:00,4635.644262,TARGET,9.050119,0.2,214,990393.09,1.0,1887.95,0.0,59423.59,988380.38,0.0,2971179.27,per_trade_allocation,kelly_warmup_fixed_percent_risk,3647.49,17085.38,-13437.89,-1.3596,-7.1177,2,976955.2
fractional_kelly,commodities,CLF,2026-03-31,OPEN_EQUALS_HIGH,SHORT,2026-03-31T09:15:00-04:00,103.169998,103.269997,102.93,103.029999,1598.0,-0.7504,2026-03-31T09:45:00-04:00,102.870003,2026-03-31T09:50:00-04:00,102.679997,103.190632,101.658727,2026-03-31T10:35:00-04:00,103.390632,STOP_LOSS,0.445,0.2,9514,976955.2,1.0,6760.98,0.0,58617.31,976897.49,0.0,2930865.6,per_trade_allocation,kelly_warmup_fixed_percent_risk,-6760.98,16927.18,-23688.16,-2.4248,-3.5037,10,953267.04
fractional_kelly,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.150012,744.151128,774.147781,2026-04-01T10:20:00+05:30,743.951128,STOP_LOSS,3.953574,0.2,934,953267.04,1.0,9525.76,0.0,57196.02,704376.11,0.0,2859801.12,risk_budget,kelly_warmup_fixed_percent_risk,-9525.76,294.38,-9820.14,-1.3942,-1.0309,12,943446.9
fractional_kelly,derivatives,CNXAUTO,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,24508.849609,24527.150391,24397.099609,24507.199219,0.0,2.9226,2026-04-01T10:25:00+05:30,24386.0,2026-04-01T10:30:00+05:30,24387.25,24513.751379,24134.247241,2026-04-01T13:10:00+05:30,24518.751379,STOP_LOSS,73.27832,5.0,38,943446.9,1.0,4997.05,0.0,56606.81,926715.5,0.0,2830340.7,per_trade_allocation,kelly_warmup_fixed_percent_risk,-4997.05,573.91,-5570.96,-0.6012,-1.1148,33,937875.94
fractional_kelly,derivatives,NSEI,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,22878.900391,22894.699219,22811.400391,22887.0,0.0,2.2409,2026-04-01T10:25:00+05:30,22796.5,2026-04-01T10:30:00+05:30,22792.099609,22883.476171,22609.346487,2026-04-01T13:15:00+05:30,22888.476171,STOP_LOSS,43.349749,5.0,41,943446.9,1.0,3951.44,4997.05,56606.81,934476.08,926715.5,2830340.7,per_trade_allocation,kelly_warmup_fixed_percent_risk,-3951.44,577.76,-4529.2,-0.4847,-1.1462,34,933346.74
fractional_kelly,equity,BHARTIARTL_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1815.0,1816.199951,1803.800049,1810.099976,0.0,1.4250,2026-04-01T10:25:00+05:30,1802.800049,2026-04-01T10:30:00+05:30,1802.3,1815.363,1776.174,2026-04-01T15:20:00+05:30,1783.600024,END_OF_DAY,3.371434,0.2,523,943446.9,1.0,6936.55,8948.49,56606.81,942602.9,1861191.58,2830340.7,per_trade_allocation,kelly_warmup_fixed_percent_risk,9780.09,378.84,9401.25,0.9974,1.3553,59,942747.99
fractional_kelly,equity,RELIANCE_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1376.300049,1377.400024,1365.0,1369.900024,0.0,2.1752,2026-04-01T13:40:00+05:30,1364.900024,2026-04-01T13:45:00+05:30,1364.8,1376.575309,1341.249382,2026-04-01T15:20:00+05:30,1369.500049,END_OF_DAY,2.735718,0.2,683,933346.74,1.0,8179.14,6936.55,56000.8,932158.4,942602.9,2800040.22,per_trade_allocation,kelly_warmup_fixed_percent_risk,-3210.13,378.86,-3588.99,-0.385,-0.4388,20,939159.0
fractional_kelly,commodities,SIF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,74.995003,75.150002,74.974998,75.110001,206.0,-0.4711,2026-04-01T09:25:00-04:00,75.220001,2026-04-01T09:30:00-04:00,75.405002,74.980004,76.254998,2026-04-01T09:40:00-04:00,74.780004,STOP_LOSS,0.318213,0.2,12454,939159.0,1.0,7783.73,0.0,56349.54,939093.89,0.0,2817477.0,per_trade_allocation,kelly_warmup_fixed_percent_risk,-7783.73,16094.06,-23877.79,-2.5426,-3.0677,3,915281.21
