period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,20,1,1,0,107,0,51,56,107,0,0,7,11,0,-2713.44,-150.75,-79839.22,-4435.51,920160.79,2021-05-25,2353.14,69322.63,2021-05-21,-4533.49,-111405.05,2,4,7263.07,178443.38,16.6042
2021-06,30,1,0,0,207,0,106,101,207,0,0,11,18,0,5163.29,178.04,145617.46,5021.29,1065778.16,2021-06-10,3245.70,100491.73,2021-06-11,-2032.05,-55087.30,3,5,2980.92,82459.73,8.6262
2021-07,31,1,0,0,216,0,112,104,216,0,0,15,15,0,4773.07,159.10,158656.99,5288.57,1224435.20,2021-07-26,3372.70,98034.99,2021-07-29,-2093.36,-52613.12,3,3,3097.28,76607.93,5.9913
2021-08,31,3,0,0,177,0,91,86,177,0,0,13,15,0,5250.88,187.53,135065.81,4823.78,1359500.96,2021-08-07,2510.23,65035.28,2021-08-01,-904.43,-21705.61,4,3,2119.07,43705.03,3.1147
2021-09,30,3,0,0,252,0,123,129,252,0,0,10,17,0,-3197.09,-118.41,-82891.38,-3070.05,1276609.59,2021-09-08,3659.45,68770.80,2021-09-25,-2673.36,-62886.89,3,4,5346.26,123276.57,8.8923
2021-10,31,3,0,0,264,0,133,131,264,0,0,10,18,0,-2325.21,-83.04,-9420.16,-336.43,1267189.44,2021-10-02,3658.07,85219.10,2021-10-17,-2417.04,-39651.37,2,5,9844.02,166573.03,11.9131
2021-11,30,4,0,0,207,1,96,111,206,1,0,9,17,0,1621.59,62.37,28698.67,1103.80,1295888.16,2021-11-09,5174.97,85752.69,2021-11-21,-2427.62,-41111.04,2,6,5753.82,93123.31,7.3488
2021-12,31,3,0,0,255,0,139,116,255,0,0,14,14,0,-2281.98,-81.50,-58049.33,-2073.19,1237838.84,2021-12-04,6864.96,121763.68,2021-12-06,-2629.50,-53898.57,3,3,8002.94,168159.23,12.5144
2022-01,31,2,0,0,275,0,142,133,275,0,0,10,19,0,-6468.05,-223.04,-156052.68,-5381.13,1081786.15,2022-01-22,5696.32,137862.83,2022-01-23,-1678.82,-47597.78,3,5,9347.73,216893.55,17.5220
2022-02,28,3,0,0,252,0,129,123,252,0,0,11,14,0,827.41,33.10,43321.27,1732.85,1125107.38,2022-02-05,4630.47,125146.41,2022-02-06,-1831.22,-44063.36,3,3,7365.25,169871.72,13.6404
2022-03,31,3,0,0,315,0,168,147,315,0,0,10,18,0,-859.61,-30.70,-12006.18,-428.79,1113101.21,2022-03-05,4141.18,95351.53,2022-03-08,-2405.11,-62516.78,2,4,6998.11,166972.08,13.0439
2022-04,30,4,0,0,205,0,115,90,205,0,0,13,13,0,3498.09,134.54,74017.25,2846.82,1187118.51,2022-04-23,1844.22,44328.79,2022-04-24,-1351.37,-34100.35,2,3,2638.08,65618.72,5.5909
