period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021,234,19,1,0,1685,1,851,834,1684,1,0,89,125,0,6291.11,29.40,237838.84,1111.40,1237838.84,2021-12-04,6864.96,121763.68,2021-05-21,-4533.49,-111405.05,4,9,13395.19,229139.85,18.7237
2022,365,31,0,0,2997,0,1551,1446,2997,0,0,136,198,0,590.31,1.77,-20015.71,-59.93,1217823.05,2022-11-10,3123.99,158153.52,2022-05-11,-4901.81,-161026.67,4,8,9347.73,258612.28,18.6161
2023,365,25,0,0,2880,2,1474,1406,2878,2,0,130,210,0,11599.70,34.12,543659.88,1599.00,1761483.02,2023-01-15,3157.38,182321.68,2023-04-27,-2793.17,-97411.56,4,8,6882.81,213658.38,11.6499
2024,366,25,0,0,2714,3,1373,1341,2711,3,0,140,201,0,25798.15,75.65,488229.57,1431.76,2249712.53,2024-02-29,9703.54,189678.21,2024-04-14,-2786.82,-43696.65,5,8,11289.39,149952.82,7.6013
2025,365,30,0,0,2658,1,1400,1258,2657,1,0,137,198,0,13673.11,40.82,119253.09,355.98,2368965.33,2025-03-03,6095.75,70554.95,2025-03-07,-8323.05,-94071.11,8,8,28639.60,306163.18,12.8149
2026,130,16,0,0,895,1,432,463,893,1,1,45,69,0,17463.38,153.19,222875.39,1955.05,2591840.77,2026-02-06,12276.35,156406.36,2026-02-11,-2644.41,-39291.00,4,8,12729.07,184256.69,7.2265
