market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,55,266,17.13,-193401.36,-602.5,1287.21,-1050.0,0.06
derivatives,251,96,155,38.25,-15831.04,-63.07,759.71,-602.96,0.5152
equity,512,215,297,41.99,-55732.64,-108.85,1184.86,-717.35,0.452
