market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,54,267,16.82,-192472.09,-599.6,1690.06,-1050.0,0.0655
derivatives,251,95,156,37.85,-16147.3,-64.33,940.8,-602.96,0.5111
equity,512,215,297,41.99,-54469.06,-106.38,1784.79,-717.35,0.4614
