market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,55,266,17.13,-194079.36,-604.61,508.32,-1050.0,0.0412
derivatives,251,105,146,41.83,-19366.43,-77.16,344.9,-602.96,0.3798
equity,512,238,274,46.48,-53240.92,-103.99,584.93,-724.1,0.4414
