timeframe,ma_period,input_file,tested_start_date,tested_end_date,first_csv_timestamp,first_ma_usable_timestamp,activation_timestamp,gap_events,missing_candles_total,total_trades,long_trades,short_trades,target_exits,stop_exits,gap_exits,winning_trades,losing_trades,win_rate_pct,total_points,average_points,max_drawdown_points,starting_capital,fixed_trade_notional_usd,gross_pnl_usd,average_pnl_usd,ending_equity,total_return_pct,max_drawdown_usd,max_drawdown_pct
15m,96,btc/data/BTCUSD_data_15m.csv,2025-05-15,2025-05-20,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2025-05-15 00:00:00+00:00,0,0,83,42,41,23,60,0,23,60,27.7108,300.14,3.62,3234.57,1000000.00,1000000.00,3064.28,36.92,1003064.28,0.3064,31049.84,3.0239
30m,48,btc/data/BTCUSD_data_30m.csv,2025-05-15,2025-05-20,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,63,30,33,19,44,0,19,44,30.1587,892.70,14.17,1806.56,1000000.00,1000000.00,9016.61,143.12,1009016.61,0.9017,17168.58,1.6730
1h,24,btc/data/BTCUSD_data_1h.csv,2025-05-15,2025-05-20,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,41,22,19,14,27,0,14,27,34.1463,2799.31,68.28,1794.75,1000000.00,1000000.00,27299.16,665.83,1027299.16,2.7299,17251.02,1.6767
