timeframe,ma_period,target_risk_reward,target_label,input_file,tested_start_date,tested_end_date,first_csv_timestamp,first_ma_usable_timestamp,activation_timestamp,gap_events,missing_candles_total,total_trades,long_trades,short_trades,target_exits,stop_exits,gap_exits,winning_trades,losing_trades,win_rate_pct,total_points,average_points,max_drawdown_points,starting_capital,fixed_trade_notional_usd,gross_pnl_usd,average_pnl_usd,ending_equity,total_return_pct,max_drawdown_usd,max_drawdown_pct
15m,96,3,3R,btc/data/BTCUSD_data_15m.csv,2025-05-15,2025-05-20,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2025-05-15 00:00:00+00:00,0,0,79,40,39,19,60,0,19,60,24.0506,1752.41,22.18,2707.04,1000000.00,1000000.00,16881.01,213.68,1016881.01,1.6881,26150.49,2.5663
15m,96,4,4R,btc/data/BTCUSD_data_15m.csv,2025-05-15,2025-05-21,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2025-05-15 00:00:00+00:00,0,0,75,39,36,14,60,0,17,58,22.6667,2769.37,36.92,2425.45,1000000.00,1000000.00,26604.18,354.72,1026604.18,2.6604,23433.22,2.3157
15m,96,5,5R,btc/data/BTCUSD_data_15m.csv,2025-05-15,2025-05-21,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2025-05-15 00:00:00+00:00,0,0,74,38,36,13,60,0,17,57,22.9730,3117.93,42.13,1926.24,1000000.00,1000000.00,29944.60,404.66,1029944.60,2.9945,18555.85,1.8275
30m,48,3,3R,btc/data/BTCUSD_data_30m.csv,2025-05-15,2025-05-20,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,57,28,29,13,44,0,13,44,22.8070,-92.09,-1.62,2916.82,1000000.00,1000000.00,-676.42,-11.87,999323.58,-0.0676,28230.95,2.7795
30m,48,4,4R,btc/data/BTCUSD_data_30m.csv,2025-05-15,2025-05-20,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,54,27,27,9,45,0,11,43,20.3704,280.64,5.20,2416.86,1000000.00,1000000.00,2812.76,52.09,1002812.76,0.2813,23393.68,2.3294
30m,48,5,5R,btc/data/BTCUSD_data_30m.csv,2025-05-15,2025-05-20,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,52,26,26,6,46,0,10,42,19.2308,-1271.30,-24.45,2898.39,1000000.00,1000000.00,-12153.10,-233.71,987846.90,-1.2153,28034.24,2.7888
1h,24,3,3R,btc/data/BTCUSD_data_1h.csv,2025-05-15,2025-05-20,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,37,20,17,8,29,0,9,28,24.3243,-558.39,-15.09,3277.66,1000000.00,1000000.00,-5272.00,-142.49,994728.00,-0.5272,31678.73,3.1282
1h,24,4,4R,btc/data/BTCUSD_data_1h.csv,2025-05-15,2025-05-20,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,35,19,16,6,29,0,9,26,25.7143,112.09,3.20,2851.38,1000000.00,1000000.00,1073.59,30.67,1001073.59,0.1074,27549.81,2.7548
1h,24,5,5R,btc/data/BTCUSD_data_1h.csv,2025-05-15,2025-05-20,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,35,19,16,4,31,0,8,27,22.8571,-1715.55,-49.02,2726.25,1000000.00,1000000.00,-16522.80,-472.08,983477.20,-1.6523,26343.41,2.6342
