market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,1,69,1.43,-1325788.14,-18939.83,3932.89,-27226.63,0.003
commodities,GCF,59,0,59,0.0,-1033832.14,-17522.58,-12555.38,-22640.38,0.0
commodities,HGF,53,0,53,0.0,-647873.9,-12224.04,-11046.26,-12646.59,0.0
commodities,NGF,71,0,71,0.0,-765948.34,-10788.0,-10072.54,-11287.97,0.0
commodities,SIF,68,0,68,0.0,-1415513.2,-20816.37,-10577.21,-27246.52,0.0
derivatives,CNXAUTO,43,13,30,30.23,-52701.92,-1225.63,7694.37,-5601.87,0.4191
derivatives,CNXFMCG,56,24,32,42.86,-22801.16,-407.16,6825.48,-4822.66,0.6972
derivatives,CNXIT,53,24,29,45.28,-42796.46,-807.48,5331.19,-6500.15,0.5348
derivatives,NSEBANK,50,27,23,54.0,-24574.83,-491.5,8932.42,-5103.46,0.5757
derivatives,NSEI,49,16,33,32.65,-41474.01,-846.41,6368.39,-3917.16,0.4052
equity,BHARTIARTL_NS,57,31,26,54.39,-10645.26,-186.76,6536.43,-5287.17,0.8704
equity,HDFCBANK_NS,46,20,26,43.48,-54431.17,-1183.29,6092.62,-6627.65,0.4301
equity,ICICIBANK_NS,52,29,23,55.77,-20144.53,-387.39,8788.66,-6314.0,0.7399
equity,INFY_NS,53,28,25,52.83,-24330.27,-459.06,5613.65,-7108.32,0.7642
equity,ITC_NS,57,13,44,22.81,-92617.24,-1624.86,6716.07,-5582.7,0.182
equity,KOTAKBANK_NS,41,8,33,19.51,-103628.68,-2527.53,5868.41,-6234.81,0.1858
equity,LT_NS,58,27,31,46.55,-41906.73,-722.53,12388.58,-6477.2,0.6012
equity,RELIANCE_NS,55,22,33,40.0,-67086.02,-1219.75,2760.0,-6806.8,0.3593
equity,SBIN_NS,49,22,27,44.9,-55999.35,-1142.84,5805.1,-6671.59,0.4481
equity,TCS_NS,44,21,23,47.73,-37046.28,-841.96,6470.47,-6869.46,0.5574
