market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,2,319,0.62,-5180184.7,-16137.65,2485.88,-27246.52,0.0009
derivatives,251,103,148,41.04,-185533.05,-739.18,10099.79,-6500.15,0.5236
equity,512,221,291,43.16,-487636.2,-952.41,20313.09,-7108.32,0.5035
