target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1084,32.75,-5905326.67,-4905326.67,-5447.72,-5905326.67,-590.5327,0.091,-2.8623
2,1084,30.07,-5881139.63,-4881139.63,-5425.41,-5881139.63,-588.114,0.1052,-2.9409
3,1084,30.07,-5861759.45,-4861759.45,-5407.53,-5861759.45,-586.1759,0.1068,-2.9113
4,1084,30.07,-5851738.56,-4851738.56,-5398.28,-5851738.56,-585.1739,0.1073,-2.9167
5,1084,30.07,-5853353.95,-4853353.95,-5399.77,-5853353.95,-585.3354,0.1073,-2.9157
