target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,73,50.68,-29857.74,970142.26,-409.01,-72469.51,-7.179,0.788,-2.9082
2,73,43.84,-36725.36,963274.64,-503.09,-84748.7,-8.2342,0.7749,-3.3822
3,73,43.84,-45171.87,954828.13,-618.79,-88015.6,-8.5462,0.7232,-4.0263
4,73,43.84,-41762.18,958237.82,-572.08,-88015.6,-8.5462,0.7441,-3.5835
5,73,43.84,-43810.27,956189.73,-600.14,-88015.6,-8.5462,0.7315,-3.8482
