date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-11,FLAT,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-12,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-13,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-14,TRADED,12,0,6,6,12,0,0,3,9,0,2630.72,219.23,4286.94,-402.39,46110.04,3842.50,79211.90,-7964.12,1046110.04,1,4,1656.22,33101.86,3.0672,
2021-05-15,TRADED,3,0,1,2,3,0,0,0,3,0,-363.41,-121.14,-6.45,-189.28,-7236.71,-2412.24,-128.57,-3755.88,1038873.33,0,3,363.41,7236.71,0.6918,
2021-05-16,TRADED,6,0,1,5,6,0,0,2,4,0,651.16,108.53,1655.59,-858.45,12597.02,2099.50,33028.56,-17412.78,1051470.36,1,3,1004.43,20431.53,1.9061,
2021-05-17,TRADED,5,0,2,3,5,0,0,2,3,0,3387.45,677.49,2498.45,-165.06,71132.64,14226.53,51713.54,-3694.44,1122603.01,1,2,165.06,3694.43,0.3280,
2021-05-18,TRADED,5,0,3,2,5,0,0,2,3,0,-274.49,-54.90,64.44,-223.52,-6186.83,-1237.37,1451.35,-5027.82,1116416.18,1,3,358.49,8079.83,0.7195,
2021-05-19,TRADED,12,0,7,5,12,0,0,1,11,0,-33.62,-2.80,3819.34,-1009.90,-9390.57,-782.55,86301.91,-24379.07,1107025.61,1,11,3852.96,95692.47,7.9564,
2021-05-20,TRADED,13,0,6,7,13,0,0,2,11,0,-2311.32,-177.79,76.08,-788.65,-59120.34,-4547.72,1932.55,-20389.90,1047905.26,2,9,2311.32,59120.35,5.3405,
2021-05-21,TRADED,12,0,6,6,12,0,0,1,11,0,-1913.79,-159.48,794.61,-654.15,-46771.92,-3897.66,19999.28,-16387.33,1001133.33,1,11,2708.40,66771.21,6.2525,
2021-05-22,TRADED,4,0,3,1,4,0,0,1,3,0,326.40,81.60,1065.86,-428.32,8099.01,2024.75,27650.78,-11305.60,1009232.33,1,3,739.46,19551.78,1.9005,
2021-05-23,TRADED,8,0,4,4,8,0,0,0,8,0,-512.34,-64.04,-0.68,-155.23,-13642.01,-1705.25,-18.11,-4122.08,995590.31,0,8,512.34,13642.02,1.3517,
2021-05-24,TRADED,6,0,3,3,6,0,0,1,5,0,883.58,147.26,2426.49,-587.58,20904.57,3484.10,64755.98,-16699.68,1016494.89,1,5,1542.91,43851.40,4.1356,
2021-05-25,TRADED,12,0,5,7,12,0,0,1,11,0,2080.62,173.38,3219.86,-197.59,62260.75,5188.40,92143.03,-5160.32,1078755.64,1,11,1139.24,29882.28,2.6954,
2021-05-26,TRADED,12,0,5,7,12,0,0,1,11,0,-732.46,-61.04,756.89,-222.37,-18532.18,-1544.35,19848.57,-5676.01,1060223.47,1,8,1183.52,30351.88,2.7831,
2021-05-27,TRADED,12,0,7,5,12,0,0,1,11,0,-961.00,-80.08,253.19,-309.94,-24726.94,-2060.58,6482.68,-7916.53,1035496.54,1,9,1184.31,30448.89,2.8565,
2021-05-28,TRADED,1,0,0,1,1,0,0,0,1,0,-92.04,-92.04,-92.04,-92.04,-2377.59,-2377.59,-2377.59,-2377.59,1033118.95,0,1,92.04,2377.59,0.2296,
2021-05-29,TRADED,14,0,5,9,14,0,0,1,13,0,493.67,35.26,2174.33,-498.43,9752.63,696.62,56213.74,-13952.64,1042871.57,1,13,1680.66,46461.12,4.2651,
2021-05-30,TRADED,5,0,1,4,5,0,0,1,4,0,585.02,117.00,908.41,-112.52,16061.30,3212.26,25358.47,-3234.80,1058932.88,1,4,323.39,9297.17,0.8703,
2021-05-31,TRADED,3,0,2,1,3,0,0,1,2,0,76.99,25.66,455.59,-308.03,2413.77,804.59,13004.92,-8601.32,1061346.65,1,2,378.60,10591.15,0.9880,
2021-06-01,TRADED,14,0,7,7,14,0,0,3,11,0,-767.31,-54.81,733.46,-535.74,-20265.36,-1447.53,20498.49,-14636.39,1041081.31,2,10,1581.56,42964.32,3.9633,
2021-06-02,TRADED,9,0,4,5,9,0,0,0,9,0,-823.03,-91.45,-4.40,-184.56,-22534.32,-2503.81,-120.69,-5088.78,1018546.98,0,9,823.03,22534.33,2.1645,
