target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1081,34.23,-262675.62,-162675.62,-242.99,-262675.62,-262.6756,0.2122,-1.7522
2,1081,25.53,-252817.75,-152817.75,-233.87,-254385.68,-254.3857,0.3113,2.3377
3,1081,23.31,-236741.13,-136741.13,-219.0,-238903.5,-238.9035,0.3658,-0.8665
4,1081,23.03,-230460.5,-130460.5,-213.19,-233820.84,-233.8208,0.3844,3.37
5,1081,22.76,-222939.06,-122939.06,-206.23,-227106.78,-227.1068,0.406,-2.7596
