market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,quantity,notional,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles
commodities,CLF,2026-03-30,OPEN_EQUALS_LOW,LONG,2026-03-30T09:15:00-04:00,101.290001,101.75,101.199997,101.610001,2620.0,,2026-03-30T09:25:00-04:00,101.769997,2026-03-30T09:30:00-04:00,101.790351,101.269743,102.831566,2026-03-30T09:45:00-04:00,102.811,TARGET,982,99958.12,1002.28,60.28,942.0,0.9424,1.7736,4
commodities,CLF,2026-03-31,OPEN_EQUALS_HIGH,SHORT,2026-03-31T09:15:00-04:00,103.169998,103.269997,102.93,103.029999,1598.0,-0.7504,2026-03-31T09:45:00-04:00,102.870003,2026-03-31T09:50:00-04:00,102.859421,103.190632,102.196999,2026-03-31T10:10:00-04:00,102.217439,TARGET,972,99979.36,624.01,59.8,564.21,0.5643,1.6497,5
commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.897614,113.412677,108.867488,2026-04-02T09:40:00-04:00,113.43536,STOP_LOSS,650,72733.45,-999.53,43.94,-1043.47,-1.4347,-1.044,2
commodities,CLF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,111.330002,111.889999,111.25,111.870003,2377.0,0.0090,2026-04-06T09:20:00-04:00,112.239998,2026-04-06T09:25:00-04:00,112.262446,111.307736,114.171866,2026-04-06T10:15:00-04:00,111.285474,STOP_LOSS,890,99913.58,-869.5,59.69,-929.19,-0.93,-1.0686,11
commodities,CLF,2026-04-14,OPEN_EQUALS_HIGH,SHORT,2026-04-14T09:15:00-04:00,96.080002,96.129997,95.330002,95.529999,2368.0,-1.6179,2026-04-14T09:40:00-04:00,95.209999,2026-04-14T09:45:00-04:00,95.200957,96.099218,93.404436,2026-04-14T10:05:00-04:00,93.423117,TARGET,1050,99961.01,1866.73,59.42,1807.32,1.808,1.8761,5
commodities,CLF,2026-04-15,OPEN_EQUALS_HIGH,SHORT,2026-04-15T09:15:00-04:00,91.43,91.440002,91.129997,91.309998,1343.0,-0.2944,2026-04-15T09:25:00-04:00,90.959999,2026-04-15T09:30:00-04:00,90.921814,91.448286,89.868871,2026-04-15T09:55:00-04:00,91.466576,STOP_LOSS,1099,99923.07,-598.69,60.13,-658.83,-0.6593,-1.1004,6
commodities,CLF,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00-04:00,89.349998,89.349998,89.089996,89.160004,1443.0,-1.6835,2026-04-16T09:20:00-04:00,88.980003,2026-04-16T09:25:00-04:00,88.942207,89.367868,88.090884,2026-04-16T09:35:00-04:00,89.385742,STOP_LOSS,1124,99971.04,-498.53,60.13,-558.67,-0.5588,-1.1206,3
commodities,CLF,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00-04:00,81.059998,81.800003,81.059998,81.32,6474.0,-10.3219,2026-04-17T09:25:00-04:00,82.099998,2026-04-17T09:30:00-04:00,82.116418,81.043786,84.261684,2026-04-17T10:15:00-04:00,81.027577,STOP_LOSS,918,75382.87,-999.56,44.93,-1044.49,-1.3856,-1.0449,10
commodities,CLF,2026-04-27,OPEN_EQUALS_HIGH,SHORT,2026-04-27T09:15:00-04:00,96.029999,96.120003,95.760002,95.790001,1145.0,1.3082,2026-04-27T09:55:00-04:00,95.709999,2026-04-27T10:00:00-04:00,95.680857,96.049205,94.944161,2026-04-27T10:10:00-04:00,96.068415,STOP_LOSS,1045,99986.5,-405.0,60.11,-465.11,-0.4652,-1.1484,3
commodities,CLF,2026-04-28,OPEN_EQUALS_HIGH,SHORT,2026-04-28T09:15:00-04:00,100.330002,100.389999,100.010002,100.080002,1996.0,4.2931,2026-04-28T09:20:00-04:00,99.849998,2026-04-28T09:25:00-04:00,99.830028,100.350068,98.78995,2026-04-28T09:50:00-04:00,98.809708,TARGET,1001,99929.86,1021.34,59.65,961.69,0.9624,1.7788,6
commodities,GCF,2026-03-31,OPEN_EQUALS_LOW,LONG,2026-03-31T09:15:00-04:00,4610.899902,4616.700195,4610.600098,4613.200195,354.0,1.8353,2026-03-31T09:40:00-04:00,4618.0,2026-03-31T09:45:00-04:00,4619.323582,4609.977722,4638.015302,2026-03-31T09:50:00-04:00,4637.087699,TARGET,21,97005.8,373.05,58.32,314.73,0.3244,1.4596,2
commodities,GCF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,4758.100098,4768.0,4757.899902,4766.299805,719.0,1.1071,2026-04-01T09:35:00-04:00,4773.600098,2026-04-01T09:40:00-04:00,4774.054718,4757.148478,4807.867198,2026-04-01T10:00:00-04:00,4756.197048,STOP_LOSS,20,95481.09,-357.15,57.18,-414.33,-0.4339,-1.1601,5
commodities,GCF,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00-04:00,4612.600098,4620.200195,4609.799805,4616.600098,579.0,-3.6573,2026-04-02T09:25:00-04:00,4622.700195,2026-04-02T09:30:00-04:00,4623.824482,4611.677578,4648.118292,2026-04-02T09:40:00-04:00,4610.755242,STOP_LOSS,21,97100.31,-274.45,58.18,-332.63,-0.3426,-1.212,3
commodities,GCF,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00-04:00,4694.700195,4695.200195,4689.200195,4689.200195,154.0,-0.1149,2026-04-06T11:10:00-04:00,4687.5,2026-04-06T11:15:00-04:00,4686.362345,4695.639135,4667.808763,2026-04-06T11:30:00-04:00,4696.578263,STOP_LOSS,21,98413.61,-214.53,59.11,-273.65,-0.2781,-1.2755,4
commodities,GCF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,4682.0,4682.700195,4675.299805,4676.200195,256.0,0.1647,2026-04-07T09:30:00-04:00,4673.0,2026-04-07T09:35:00-04:00,4671.265755,4682.9364,4647.924466,2026-04-07T10:00:00-04:00,4648.854051,TARGET,21,98096.58,470.65,58.72,411.93,0.4199,1.5559,6
commodities,GCF,2026-04-10,OPEN_EQUALS_HIGH,SHORT,2026-04-10T09:15:00-04:00,4796.799805,4797.700195,4790.200195,4796.5,1389.0,-0.0750,2026-04-10T11:35:00-04:00,4784.799805,2026-04-10T11:40:00-04:00,4784.143078,4797.759165,4756.910904,2026-04-10T15:20:00-04:00,4792.558418,END_OF_DAY,20,95682.86,-168.31,57.46,-225.77,-0.236,-0.7745,45
commodities,GCF,2026-04-14,OPEN_EQUALS_LOW,LONG,2026-04-14T09:15:00-04:00,4804.5,4810.299805,4803.299805,4809.799805,1210.0,0.8395,2026-04-14T09:20:00-04:00,4814.299805,2026-04-14T09:25:00-04:00,4815.163035,4803.5391,4838.410906,2026-04-14T09:30:00-04:00,4802.578392,STOP_LOSS,20,96303.26,-251.69,57.71,-309.4,-0.3213,-1.2293,2
commodities,GCF,2026-04-17,OPEN_EQUALS_HIGH,SHORT,2026-04-17T09:15:00-04:00,4906.299805,4906.700195,4884.799805,4886.600098,2937.0,1.9279,2026-04-17T09:20:00-04:00,4883.600098,2026-04-17T09:25:00-04:00,4882.323145,4907.281065,4832.407305,2026-04-17T10:00:00-04:00,4908.262521,STOP_LOSS,20,97646.46,-518.79,58.74,-577.53,-0.5915,-1.1132,8
commodities,GCF,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00-04:00,4760.600098,4762.700195,4754.600098,4762.0,842.0,0.5746,2026-04-22T10:30:00-04:00,4754.5,2026-04-22T10:35:00-04:00,4753.948922,4761.552218,4738.742332,2026-04-22T14:45:00-04:00,4762.504528,STOP_LOSS,21,99832.93,-179.67,59.95,-239.62,-0.24,-1.3337,51
commodities,GCF,2026-04-23,OPEN_EQUALS_LOW,LONG,2026-04-23T09:15:00-04:00,4742.600098,4747.899902,4742.600098,4743.700195,352.0,-0.3865,2026-04-23T09:35:00-04:00,4748.0,2026-04-23T09:40:00-04:00,4748.9496,4741.651578,4763.545645,2026-04-23T09:55:00-04:00,4740.703247,STOP_LOSS,21,99727.94,-173.17,59.78,-232.96,-0.2336,-1.3452,4
commodities,HGF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,5.625,5.6325,5.625,5.6295,238.0,-0.3543,2026-04-06T09:20:00-04:00,5.633,2026-04-06T09:25:00-04:00,5.634126,5.623875,5.654629,2026-04-06T09:25:00-04:00,5.62275,STOP_LOSS,17748,99994.48,-201.91,59.94,-261.84,-0.2619,-1.2969,1
commodities,HGF,2026-04-20,OPEN_EQUALS_LOW,LONG,2026-04-20T09:15:00-04:00,6.0515,6.059,6.0515,6.0575,186.0,-0.6159,2026-04-20T09:25:00-04:00,6.065,2026-04-20T09:30:00-04:00,6.067213,6.05029,6.10106,2026-04-20T10:50:00-04:00,6.049079,STOP_LOSS,16482,99999.81,-298.88,59.91,-358.79,-0.3588,-1.2004,17
commodities,HGF,2026-04-23,OPEN_EQUALS_LOW,LONG,2026-04-23T09:15:00-04:00,6.0635,6.0725,6.0625,6.0725,110.0,-1.2298,2026-04-23T10:15:00-04:00,6.073,2026-04-23T10:20:00-04:00,6.074715,6.062287,6.09957,2026-04-23T11:10:00-04:00,6.09835,TARGET,16461,99995.88,389.06,60.11,328.95,0.329,1.4651,11
commodities,HGF,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00-04:00,6.075,6.0835,6.0745,6.0795,86.0,0.7797,2026-04-27T09:55:00-04:00,6.0855,2026-04-27T10:00:00-04:00,6.086217,6.073785,6.111081,2026-04-27T10:25:00-04:00,6.07257,STOP_LOSS,16430,99996.55,-224.22,59.93,-284.15,-0.2842,-1.2673,6
commodities,HGF,2026-04-28,OPEN_EQUALS_HIGH,SHORT,2026-04-28T09:15:00-04:00,5.972,5.9775,5.966,5.9755,1153.0,-1.9134,2026-04-28T10:00:00-04:00,5.9615,2026-04-28T10:05:00-04:00,5.959308,5.973195,5.931534,2026-04-28T10:05:00-04:00,5.974389,STOP_LOSS,16780,99997.18,-253.07,60.07,-313.14,-0.3132,-1.2374,1
commodities,NGF,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00-04:00,2.864,2.865,2.856,2.857,917.0,2.2492,2026-04-06T09:20:00-04:00,2.852,2026-04-06T09:25:00-04:00,2.85143,2.864573,2.825143,2026-04-06T10:10:00-04:00,2.825708,TARGET,35070,99999.64,902.05,59.73,842.33,0.8423,1.7511,10
commodities,NGF,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00-04:00,2.731,2.733,2.727,2.73,1241.0,-0.1828,2026-04-09T09:25:00-04:00,2.725,2026-04-09T09:30:00-04:00,2.724455,2.731546,2.710272,2026-04-09T10:00:00-04:00,2.710814,TARGET,36704,99998.39,500.66,59.85,440.81,0.4408,1.5725,7
commodities,NGF,2026-04-15,OPEN_EQUALS_HIGH,SHORT,2026-04-15T09:15:00-04:00,2.607,2.607,2.594,2.595,664.0,0.1922,2026-04-15T09:25:00-04:00,2.593,2026-04-15T09:30:00-04:00,2.592481,2.607522,2.562401,2026-04-15T10:35:00-04:00,2.608043,STOP_LOSS,38573,99999.78,-600.26,60.18,-660.44,-0.6604,-1.1003,14
commodities,NGF,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00-04:00,2.644,2.648,2.642,2.646,808.0,-0.8252,2026-04-17T09:40:00-04:00,2.652,2026-04-17T09:45:00-04:00,2.65153,2.643471,2.667648,2026-04-17T09:45:00-04:00,2.667115,TARGET,37714,99999.81,587.75,60.18,527.57,0.5276,1.6289,1
commodities,NGF,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00-04:00,2.694,2.694,2.686,2.691,967.0,0.6350,2026-04-20T09:30:00-04:00,2.678,2026-04-20T09:35:00-04:00,2.677464,2.694539,2.643316,2026-04-20T10:00:00-04:00,2.695078,STOP_LOSS,37348,99997.94,-657.82,60.2,-718.02,-0.718,-1.0915,6
commodities,NGF,2026-04-21,OPEN_EQUALS_HIGH,SHORT,2026-04-21T09:15:00-04:00,2.677,2.678,2.671,2.677,1114.0,-0.1119,2026-04-21T09:35:00-04:00,2.67,2026-04-21T09:40:00-04:00,2.670466,2.677535,2.656327,2026-04-21T09:50:00-04:00,2.678071,STOP_LOSS,37446,99998.26,-284.78,60.08,-344.87,-0.3449,-1.211,3
commodities,NGF,2026-04-23,OPEN_EQUALS_LOW,LONG,2026-04-23T09:15:00-04:00,2.781,2.789,2.781,2.787,2282.0,2.4687,2026-04-23T09:20:00-04:00,2.79,2026-04-23T09:25:00-04:00,2.790558,2.780444,2.810786,2026-04-23T09:40:00-04:00,2.779888,STOP_LOSS,35835,99999.64,-382.37,59.89,-442.26,-0.4423,-1.1566,4
commodities,NGF,2026-04-24,OPEN_EQUALS_HIGH,SHORT,2026-04-24T09:15:00-04:00,2.693,2.695,2.684,2.687,1068.0,-1.8586,2026-04-24T09:30:00-04:00,2.681,2026-04-24T09:35:00-04:00,2.679464,2.693539,2.651315,2026-04-24T11:45:00-04:00,2.651845,TARGET,37320,99997.6,1030.74,59.69,971.05,0.9711,1.7805,27
commodities,NGF,2026-04-27,OPEN_EQUALS_HIGH,SHORT,2026-04-27T09:15:00-04:00,2.794,2.796,2.787,2.792,1954.0,4.2148,2026-04-27T09:20:00-04:00,2.783,2026-04-27T09:25:00-04:00,2.782443,2.794559,2.758213,2026-04-27T09:35:00-04:00,2.795118,STOP_LOSS,35939,99998.23,-455.5,60.14,-515.63,-0.5156,-1.132,3
commodities,NGF,2026-04-28,OPEN_EQUALS_LOW,LONG,2026-04-28T09:15:00-04:00,2.715,2.724,2.714,2.721,1206.0,-0.7313,2026-04-28T10:10:00-04:00,2.727,2026-04-28T10:15:00-04:00,2.727545,2.714457,2.753722,2026-04-28T11:15:00-04:00,2.713914,STOP_LOSS,36663,100000.0,-499.77,59.85,-559.62,-0.5596,-1.1198,13
commodities,SIF,2026-03-30,OPEN_EQUALS_HIGH,SHORT,2026-03-30T09:15:00-04:00,71.364998,71.400002,71.209999,71.315002,94.0,,2026-03-30T09:30:00-04:00,70.955002,2026-03-30T09:35:00-04:00,71.010797,71.379271,70.273848,2026-03-30T09:55:00-04:00,70.287903,TARGET,1408,99983.2,1017.83,59.68,958.15,0.9583,1.7779,5
