market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,10,4,6,40.0,-424.54,-42.45,1807.32,-1044.49,0.9097
commodities,GCF,10,2,8,20.0,-1879.23,-187.92,411.93,-577.53,0.2789
commodities,HGF,5,1,4,20.0,-888.97,-177.79,328.95,-358.79,0.2701
commodities,NGF,10,4,6,40.0,-459.08,-45.91,971.05,-718.02,0.8583
commodities,SIF,15,5,10,33.33,-322.16,-21.48,1044.03,-788.06,0.9282
derivatives,CNXAUTO,6,3,3,50.0,-693.79,-115.63,582.92,-745.75,0.5703
derivatives,CNXFMCG,6,3,3,50.0,533.95,88.99,723.17,-325.41,1.6413
derivatives,CNXIT,3,2,1,66.67,397.78,132.59,359.26,-103.68,4.8366
derivatives,NSEBANK,5,1,4,20.0,-1574.13,-314.83,257.46,-680.24,0.1406
derivatives,NSEI,8,4,4,50.0,-939.12,-117.39,432.35,-887.99,0.5736
equity,BHARTIARTL_NS,7,4,3,57.14,2076.84,296.69,1188.09,-394.73,3.3624
equity,HDFCBANK_NS,7,2,5,28.57,-2802.53,-400.36,642.79,-1044.25,0.2629
equity,ICICIBANK_NS,4,2,2,50.0,-657.55,-164.39,1154.19,-1052.01,0.6861
equity,INFY_NS,8,5,3,62.5,1166.93,145.87,1874.64,-1038.78,1.5004
equity,ITC_NS,8,3,5,37.5,-998.63,-124.83,997.72,-624.37,0.6029
equity,KOTAKBANK_NS,6,3,3,50.0,-84.02,-14.0,872.74,-1023.87,0.9521
equity,LT_NS,6,3,3,50.0,178.71,29.78,715.29,-996.19,1.1369
equity,RELIANCE_NS,9,5,4,55.56,2238.82,248.76,1078.3,-645.06,2.1593
equity,SBIN_NS,2,0,2,0.0,-1233.5,-616.75,-211.37,-1022.13,0.0
equity,TCS_NS,3,3,0,100.0,2873.89,957.96,1876.43,138.4,inf
