date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,2,2,0,2020.11,119.96,1900.15,1.9002,101900.15,0.0,0.0
2026-03-31,2,2,0,997.06,118.12,878.94,0.8626,102779.09,0.0,0.0
2026-04-01,8,1,7,-2376.89,425.09,-2801.99,-2.7262,99977.1,-2801.99,-2.7262
2026-04-02,10,2,8,-1749.58,447.61,-2197.18,-2.1977,97779.92,-4999.17,-4.864
2026-04-06,10,2,8,-3580.04,482.12,-4062.15,-4.1544,93717.77,-9061.32,-8.8163
2026-04-07,2,2,0,1574.32,118.36,1455.96,1.5536,95173.73,-7605.36,-7.3997
2026-04-08,4,3,1,1418.93,181.32,1237.6,1.3004,96411.33,-6367.76,-6.1956
2026-04-09,7,4,3,287.07,374.61,-87.52,-0.0908,96323.81,-6455.28,-6.2807
2026-04-10,10,6,4,2097.12,491.36,1605.75,1.667,97929.56,-4849.53,-4.7184
2026-04-13,1,0,1,-222.18,60.04,-282.22,-0.2882,97647.34,-5131.75,-4.993
2026-04-14,3,2,1,2592.61,177.39,2415.23,2.4734,100062.57,-2716.52,-2.6431
2026-04-15,7,0,7,-2968.89,399.41,-3368.3,-3.3662,96694.27,-6084.82,-5.9203
2026-04-16,7,3,4,807.12,416.25,390.85,0.4042,97085.12,-5693.97,-5.54
2026-04-17,7,4,3,987.67,373.33,614.33,0.6328,97699.45,-5079.64,-4.9423
2026-04-20,7,4,3,-157.4,419.4,-576.8,-0.5904,97122.65,-5656.44,-5.5035
2026-04-21,8,1,7,-2866.26,451.7,-3317.98,-3.4163,93804.67,-8974.42,-8.7318
2026-04-22,6,4,2,783.03,276.58,506.44,0.5399,94311.11,-8467.98,-8.239
2026-04-23,6,2,4,-390.14,344.62,-734.76,-0.7791,93576.35,-9202.74,-8.9539
2026-04-24,6,3,3,810.74,316.8,493.94,0.5278,94070.29,-8708.8,-8.4733
2026-04-27,12,4,8,208.44,589.46,-381.01,-0.405,93689.28,-9089.81,-8.844
2026-04-28,5,1,4,-328.58,246.77,-575.35,-0.6141,93113.93,-9665.16,-9.4038
2026-04-29,8,7,1,3773.72,377.96,3395.74,3.6469,96509.67,-6269.42,-6.0999
