rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
WORST,1,2,derivatives,CNXAUTO_data_1h,2026-04-29,BUY,BUY,LONG,2026-04-29T09:15:00+05:30,2026-04-29T10:15:00+05:30,26394.25,26399.199219,26138.550962,26905.648076,26649.949038,26905.648076,27161.347113,27417.046151,27672.745189,170.466025,255.699038,25998.089164,25987.871502,26271.5,63.8676,-18.661393,-55.359532,20.0232,0.0,0.0,71.43,0.0,STRONG BULL,37,976770.37,9828.99,5.0,0,4,2026-04-29T13:15:00+05:30,26133.550962,STOP_LOSS,-9828.99,594.47,-10423.46,-1.0671,-1.0605
WORST,2,2,derivatives,CNXAUTO_data_1h,2026-04-28,BUY,BUY,LONG,2026-04-28T09:15:00+05:30,2026-04-28T10:15:00+05:30,26143.900391,26150.349609,25937.419979,26556.861213,26350.380802,26556.861213,26763.341625,26969.822036,27176.302447,137.653608,206.480411,26007.3762,26001.867688,26107.783203,56.1175,-41.408003,-106.627389,24.286,0.0,0.0,71.43,0.0,STRONG BULL,38,993713.29,8281.33,5.0,0,2,2026-04-28T11:15:00+05:30,25932.419979,STOP_LOSS,-8281.33,604.86,-8886.19,-0.8942,-1.073
WORST,3,2,derivatives,NSEI_data_1h,2026-04-29,BUY,BUY,LONG,2026-04-29T10:15:00+05:30,2026-04-29T11:15:00+05:30,24288.150391,24294.900391,24151.725625,24560.999922,24424.575156,24560.999922,24697.424688,24833.849454,24970.27422,90.949844,136.424766,24116.677328,24101.348506,24225.325195,62.9153,-4.000683,-33.029061,24.6055,0.0,0.0,71.43,0.0,STRONG BULL,41,996090.92,6075.17,5.0,0,5,2026-04-29T15:15:00+05:30,24146.725625,STOP_LOSS,-6075.17,607.36,-6682.53,-0.6709,-1.1
WORST,4,2,derivatives,NSEBANK_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T09:15:00+05:30,2026-04-15T10:15:00+05:30,56503.101562,56507.699219,55880.483269,57748.33815,57125.719856,57748.33815,58370.956443,58993.574737,59616.193031,415.078862,622.618294,55711.353831,55692.730722,56532.266927,59.8199,-18.890964,-81.874281,,0.0,,57.14,14.29,STRONG BULL,15,847615.49,9483.24,5.0,0,6,2026-04-15T15:15:00+05:30,56253.851562,SESSION_END,-3807.71,524.58,-4332.29,-0.5111,-0.4568
WORST,5,2,derivatives,CNXFMCG_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T11:15:00+05:30,2026-04-15T12:15:00+05:30,48377.101562,48381.75,47977.043578,49177.217531,48777.159547,49177.217531,49577.275516,49977.3335,50377.391485,266.705323,400.057984,47992.676419,47951.070636,48254.283854,57.4359,11.136417,-43.888002,,0.0,,71.43,0.0,STRONG BULL,20,967635.0,8194.13,5.0,0,4,2026-04-15T15:15:00+05:30,48247.550781,SESSION_END,-2683.98,593.04,-3277.02,-0.3387,-0.3999
WORST,6,2,derivatives,CNXAUTO_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T11:15:00+05:30,2026-04-15T12:15:00+05:30,26541.150391,26547.0,26223.527948,27176.395276,26858.772833,27176.395276,27494.017718,27811.640161,28129.262603,211.748295,317.622443,26362.377144,26340.180641,26537.816623,55.6767,10.144814,-14.166647,,0.0,,71.43,0.0,STRONG BULL,30,796410.0,9854.16,5.0,0,4,2026-04-15T15:15:00+05:30,26465.5,SESSION_END,-2445.0,496.33,-2941.33,-0.3693,-0.2985
WORST,7,2,derivatives,NSEI_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T10:15:00+05:30,2026-04-15T11:15:00+05:30,24184.25,24189.5,23990.572151,24571.605699,24377.927849,24571.605699,24765.283548,24958.961397,25152.639247,129.118566,193.677849,23983.977116,23961.452533,24215.008138,57.748,6.673132,-22.142477,,0.0,,57.14,14.29,STRONG BULL,41,991769.5,8361.04,5.0,0,5,2026-04-15T15:15:00+05:30,24206.900391,SESSION_END,713.42,608.47,104.95,0.0106,0.0126
WORST,8,2,derivatives,NSEI_data_1h,2026-04-23,SELL,SELL,SHORT,2026-04-23T10:15:00+05:30,2026-04-23T11:15:00+05:30,24191.849609,24188.199219,24325.955295,23923.638237,24057.743923,23923.638237,23789.532552,23655.426866,23521.32118,89.403791,134.105686,24350.799529,24363.329461,24232.133138,37.15,17.88955,60.363654,20.9407,0.0,0.0,0.0,71.43,STRONG BEAR,41,991716.17,5853.0,5.0,0,5,2026-04-23T15:15:00+05:30,24161.050781,SESSION_END,1113.09,607.48,505.61,0.051,0.0864
WORST,9,2,derivatives,NSEBANK_data_1h,2026-04-23,SELL,SELL,SHORT,2026-04-23T12:15:00+05:30,2026-04-23T13:15:00+05:30,56396.949219,56392.398438,56770.728764,55649.390127,56023.169673,55649.390127,55275.610582,54901.831036,54528.05149,249.186364,373.779546,56809.423755,56851.054495,56577.395508,37.9877,54.608978,192.282024,25.4359,0.0,0.0,0.0,85.71,STRONG BEAR,17,958670.77,6516.62,5.0,0,3,2026-04-23T15:15:00+05:30,56321.0,SESSION_END,1213.77,588.74,625.03,0.0652,0.0959
WORST,10,2,derivatives,CNXIT_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T09:15:00+05:30,2026-04-15T10:15:00+05:30,31453.400391,31458.900391,31062.064124,32236.072923,31844.736657,32236.072923,32627.40919,33018.745456,33410.081722,260.890844,391.336266,30855.294228,30830.118096,31412.283203,66.5419,8.476999,-22.901192,,0.0,,71.43,0.0,STRONG BULL,24,755013.61,9644.07,5.0,0,6,2026-04-15T15:15:00+05:30,31521.599609,SESSION_END,1504.78,474.98,1029.8,0.1364,0.1068
