target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,255,43.14,-221077.97,778922.03,-866.97,-236379.49,-23.4778,0.4152,-14.4306
2,255,30.98,-169976.27,830023.73,-666.57,-211123.97,-20.8256,0.6137,-7.6864
3,255,27.84,-130776.26,869223.74,-512.85,-203672.58,-19.7393,0.7108,-5.2502
4,255,27.45,-122111.43,877888.57,-478.87,-218622.41,-20.8898,0.7303,-4.1713
5,255,27.45,-92168.92,907831.08,-361.45,-218116.04,-20.4821,0.7964,-2.6592
