date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,9,2,7,-5622.43,450.0,-6072.43,-6.0724,93927.57,-6072.43,-6.0724
2026-03-31,7,2,5,-3230.2,350.0,-3580.2,-3.8117,90347.37,-9652.63,-9.6526
2026-04-01,45,12,33,-9127.6,2250.0,-11377.6,-12.5932,78969.77,-21030.23,-21.0302
2026-04-02,49,18,31,2389.43,2450.0,-60.57,-0.0767,78909.2,-21090.8,-21.0908
2026-04-06,41,14,27,-1428.58,2050.0,-3478.58,-4.4083,75430.62,-24569.38,-24.5694
2026-04-07,47,20,27,-4318.93,2350.0,-6668.93,-8.8411,68761.69,-31238.31,-31.2383
2026-04-08,38,10,28,-6779.59,1900.0,-8679.59,-12.6227,60082.1,-39917.9,-39.9179
2026-04-09,41,13,28,-1757.31,2050.0,-3807.31,-6.3368,56274.79,-43725.21,-43.7252
2026-04-10,49,13,36,-10445.78,2450.0,-12895.78,-22.9157,43379.01,-56620.99,-56.621
2026-04-13,56,14,42,-4028.46,2800.0,-6828.46,-15.7414,36550.55,-63449.45,-63.4494
2026-04-14,11,4,7,-4541.34,550.0,-5091.34,-13.9296,31459.21,-68540.79,-68.5408
2026-04-15,43,11,32,-10309.06,2150.0,-12459.06,-39.6039,19000.15,-80999.85,-80.9998
2026-04-16,49,14,35,-9629.21,2450.0,-12079.21,-63.5743,6920.94,-93079.06,-93.0791
2026-04-17,43,12,31,-5899.18,2150.0,-8049.18,-116.3018,-1128.24,-101128.24,-101.1282
2026-04-20,16,7,9,-4027.01,800.0,-4827.01,427.8354,-5955.25,-105955.25,-105.9552
2026-04-21,49,17,32,-6503.82,2450.0,-8953.82,150.3517,-14909.07,-114909.07,-114.9091
2026-04-22,40,16,24,-419.93,2000.0,-2419.93,16.2313,-17329.0,-117329.0,-117.329
2026-04-23,45,19,26,-4374.37,2250.0,-6624.37,38.2271,-23953.37,-123953.37,-123.9534
2026-04-24,42,11,31,-4699.79,2100.0,-6799.79,28.3876,-30753.16,-130753.16,-130.7532
2026-04-27,46,12,34,-7390.44,2300.0,-9690.44,31.5104,-40443.6,-140443.6,-140.4436
2026-04-28,44,17,27,-1119.08,2200.0,-3319.08,8.2067,-43762.68,-143762.68,-143.7627
2026-04-29,20,13,7,8207.04,1000.0,7207.04,-16.4685,-36555.64,-136555.64,-136.5556
